FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2
1,46323,Needs Approval,Planting Site - Needs Approval,0,Meadowbrook,N/A,46,No,118,Ramsey Ave,947294.49,1108134.19,43.0403314552206,-76.1079441840732,-8472297.84592937,5318114.03441271
2,46725,"Maple, Silver",Acer saccharinum,42,University Neighborhood,To Be Determined,45,Yes,819,Maryland Ave,944035.59,1106570.75,43.0360917964012,-76.1201665694974,-8473658.43605528,5317468.31310051
3,46324,Stump - Do not grind,Stump - Do not grind,4,Outer Comstock,To Be Determined,56.01,No,318,Goodrich Ave,942311.800000006,1099286.82999999,43.0161325921,-76.1267622146,-8474392.65998225,5314429.02564334
4,46325,Needs Approval,Planting Site - Needs Approval,0,Outer Comstock,N/A,56.01,No,325,Goodrich Ave,942366.91,1099105.18,43.0156333702737,-76.1265598469329,-8474370.13250256,5314353.01932162
5,46726,"Maple, Norway",Acer platanoides,15,Meadowbrook,To Be Determined,46,No,313,Albert Rd,951600.999999995,1109472.65999999,43.0439357809,-76.0918061457,-8470501.36716113,5318663.02642651
6,46326,Stump,Stump,17,Outer Comstock,To Be Determined,56.01,No,321,Goodrich Ave,942354.630000022,1099272.59999999,43.0160929097,-76.1266023584,-8474374.86486019,5314422.98400386
7,46727,"Maple, Norway",Acer platanoides,13,Meadowbrook,To Be Determined,46,No,313,Albert Rd,951600.639999998,1109513.77999999,43.044048608,-76.0918065916238,-8470501.41680575,5318680.21217287
8,46327,"Maple, Red",Acer rubrum,14,Outer Comstock,To Be Determined,56.01,No,301,Goodrich Ave,942333.740000007,1099589.66999998,43.0169631776,-76.1266740217,-8474382.84239296,5314555.48333819
9,46728,"Maple, Silver",Acer saccharinum,27,University Neighborhood,To Be Determined,45,Yes,819,Maryland Ave,944035.2,1106584.91,43.0361306534295,-76.1201677360237,-8473658.56591277,5317474.23101762
10,46328,"Fir, White",Abies concolor,12,Outer Comstock,To Be Determined,56.01,No,245,Goodrich Ave,942336.420000011,1099668.71,43.0171800025,-76.1266623937,-8474381.54797367,5314588.49547494
11,46729,"hornbeam, American",Carpinus caroliniana,13,Brighton,To Be Determined,59,Yes,254,Matson Ave W,936825.25,1098167.22,43.0131406676032,-76.1472987442196,-8476678.77671314,5313973.5154326
12,46730,Needs Approval,Planting Site - Needs Approval,0,Eastwood,N/A,19,No,447,Clover Ridge Dr,951369.57,1115728.36,43.0611032886985,-76.0925350239251,-8470582.50568768,5321278.33364125
13,46731,"Linden, Littleleaf",Tilia cordata,5,Southside,To Be Determined,53,Yes,564,Oakwood Ave,937539.88,1105070.5,43.0320712571016,-76.1444919101697,-8476366.32143364,5316856.00592445
14,46732,"Maple, Silver",Acer saccharinum,22,North Valley,To Be Determined,61.01,Yes,416,Monticello Dr N,939172,1095136.48,43.0047913301395,-76.1385844229754,-8475708.70252634,5312702.47528229
15,46733,DNP Property Owner Rejection,Planting site - DNP Property Owner Rejection,0,North Valley,N/A,61.01,Yes,223,Monticello Dr N,939108.88,1094366.85,43.0026805774517,-76.1388356162302,-8475736.66522293,5312381.17755821
16,46734,"Maple, Norway",Acer platanoides,16,South Valley,To Be Determined,61.03,Yes,217,Monticello Dr S,939095.82,1092384.3,42.9972411494044,-76.1389236440331,-8475746.46439078,5311553.24140391
17,46735,"honeylocust, thornless",Gleditsia triacanthos inermis,19,South Valley,To Be Determined,61.03,Yes,207,Monticello Dr S,939151.99,1092667.08,42.9980162113459,-76.1387080887848,-8475722.46888904,5311671.20922112
18,46736,"honeylocust, thornless",Gleditsia triacanthos inermis,19,South Valley,To Be Determined,61.03,Yes,207,Monticello Dr S,939151.4,1092690.8,42.9980813016364,-76.1387098249624,-8475722.66216005,5311681.11631561
19,46737,"Ash, Green",Fraxinus pennsylvanica,10,Southside,To Be Determined,53,Yes,564,Oakwood Ave,937554.54,1105032.96,43.0319680470509,-76.1444378146128,-8476360.29954098,5316840.28810404
20,46738,"Maple, Norway",Acer platanoides,18,Brighton,To Be Determined,59,Yes,3430,Salina St S,938368.41,1098618.43,43.0143565449651,-76.1415201090647,-8476035.50179257,5314158.62588695
21,46739,"Maple, Norway",Acer platanoides,11,Brighton,To Be Determined,59,Yes,3430,Salina St S,938345.34,1098621.12,43.0143642585769,-76.1416063148666,-8476045.09818171,5314159.80025167
22,46740,"Maple, Norway",Acer platanoides,15,Brighton,To Be Determined,59,Yes,3430,Salina St S,938319.5,1098619.55,43.0143603237468,-76.1417029614747,-8476055.85683636,5314159.20118956
23,46741,"Maple, Norway",Acer platanoides,18,Brighton,To Be Determined,59,Yes,116,Ostrander Ave W,938218.01,1098613.87,43.0143462028991,-76.1420825440777,-8476098.11179197,5314157.05134724
24,46742,"Maple, Sugar",Acer saccharum,11,Brighton,To Be Determined,59,Yes,122,Ostrander Ave W,938185.24,1098611.35,43.0143397609825,-76.1422051205443,-8476111.75694617,5314156.0705918
25,46743,"Maple, Norway",Acer platanoides,15,Brighton,To Be Determined,59,Yes,122,Ostrander Ave W,938160.65,1098606.31,43.0143262868504,-76.1422971614637,-8476122.00289765,5314154.01921168
26,46744,"hornbeam, American",Carpinus caroliniana,10,Eastwood,To Be Determined,19,No,345,Clover Ridge Dr,951317.580000021,1116534.57999999,43.0633161486,-76.0927119224,-8470602.19795624,5321615.49516866
27,46745,"Cherry, Ornamental",Prunus spp.,2,Eastwood,To Be Determined,19,No,320,Clover Ridge Dr,951259.030000016,1116793.50999998,43.0640275138,-76.0929253506,-8470625.95669408,5321723.88462107
28,46746,"Maple, Sugar",Acer saccharum,15,Brighton,To Be Determined,59,Yes,138,Ostrander Ave W,937991.73,1098598.11,43.0143062202156,-76.1429289136914,-8476192.3292565,5314150.96414842
29,46747,"Maple, Norway",Acer platanoides,22,University Neighborhood,To Be Determined,45,Yes,846,Maryland Ave,944017.32,1106309.3,43.0353747263692,-76.1202402990769,-8473666.64359117,5317359.10415975
30,46748,"Maple, Norway",Acer platanoides,17,Brighton,To Be Determined,59,Yes,142,Ostrander Ave W,937950.13,1098596.85,43.0143033615076,-76.1430844806376,-8476209.6468953,5314150.52892147
31,46749,"Maple, Norway",Acer platanoides,16,Brighton,To Be Determined,59,Yes,160,Ostrander Ave W,937765.44,1098586.77,43.0142783587553,-76.1437752331557,-8476286.54113851,5314146.72235666
32,46750,"Maple, Norway",Acer platanoides,15,Brighton,To Be Determined,59,Yes,150,Ostrander Ave W,937872.6,1098592.44,43.0142923762915,-76.1433744514023,-8476241.9263035,5314148.856468
