FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2,tree_name
3125,49260,"Maple, Norway",Acer platanoides,14.0,Westcott,To Be Determined,35,Yes,170,Maple Ter,943373.56,1110005.19,43.0455249400227,-76.1225722571846,-8473926.23614922,5318905.08883467,maple
4453,50389,"Maple, Boxelder",Acer negundo,3.0,Near Eastside,To Be Determined,35,Yes,203,Maple St,942713.120000003,1111274.39999999,43.0490172172,-76.12501696,-8474198.37933677,5319437.05863695,maple
5664,50606,"Maple, Norway",Acer platanoides,14.0,Westcott,To Be Determined,35,Yes,170,Maple Ter,943343.53,1110002.09,43.0455168867193,-76.1226846594941,-8473938.74872106,5318903.86212946,maple
5667,50607,"Maple, Norway",Acer platanoides,17.0,Westcott,To Be Determined,35,Yes,160,Maple Ter,943218.74,1109994.53,43.0454980222534,-76.1231516390901,-8473990.73266854,5318900.98863241,maple
5669,50608,"Maple, Norway",Acer platanoides,16.0,Westcott,To Be Determined,35,Yes,154,Maple Ter,943092.07,1109986.36,43.0454775104615,-76.1236256637665,-8474043.50087102,5318897.8642105,maple
7155,53356,"Maple, Norway",Acer platanoides,16.0,Westcott,To Be Determined,35,Yes,158,Maple Ter,943156.43,1109989.42,43.0454849388795,-76.1233848380752,-8474016.6922691,5318898.99573126,maple
10487,57720,"Maple, Norway",Acer platanoides,16.0,Near Eastside,To Be Determined,34,Yes,322,Maple St,942543.210000009,1110757.08,43.0476003799,-76.1256631624,-8474270.31426924,5319221.23171566,maple
10493,57726,"Maple, Hedge",Acer campestre,21.0,Near Eastside,To Be Determined,35,Yes,325,Maple St,942581.959999999,1110767.68999998,43.047628911,-76.1255179818,-8474254.1528343,5319225.57780488,maple
10833,56066,"Maple, Boxelder",Acer negundo,4.0,Near Eastside,To Be Determined,35,Yes,203,Maple St,942729.479999998,1111267.02,43.0489967234,-76.1249559064498,-8474191.58288653,5319433.93678423,maple
20417,68454,"lilac, Japanese tree",Syringa reticulata,4.0,Northside,To Be Determined,14,Yes,147,Lilac St,935455.299815,1116579.663125,43.0636789206468,-76.1520672322216,-8477209.60296483,5321670.76957547,lilac
22125,70170,"Oak, Red",Quercus rubra,19.0,Lincoln Hill,To Be Determined,24,Yes,300,Oak St,940482.885109,1113989.19055197,43.0564989532,-76.1333060279,-8475121.11451391,5320576.83463829,oak
22135,70180,"Oak, Red",Quercus rubra,18.0,Lincoln Hill,To Be Determined,Unassigned,No,404,Oak St,940399.149075003,1114633.622458,43.0582683245,-76.1336064092,-8475154.55284125,5320846.40297102,oak
28650,76172,"Oak, Swamp White",Quercus bicolor,4.0,Sedgwick,Spring 2013,8,Yes,1322,Oak St,939612.7257,1118904.353,43.0699975228782,-76.1364638386336,-8475472.64062762,5322633.57368733,oak
29639,76018,"Oak, Red",Quercus rubra,10.0,Sedgwick,Fall 2011,8,Yes,900,Oak St,939773.960406,1116863.12798,43.0643946263034,-76.1359011739092,-8475410.00500971,5321779.82113389,oak
29695,76030,"Oak, Red",Quercus rubra,26.0,Sedgwick,To Be Determined,8,Yes,1036,Oak St,939763.024945,1117754.360711,43.0668400751828,-76.1359243117479,-8475412.5807235,5322152.44169432,oak
29698,76031,"Oak, Black",Quercus velutina,19.0,Sedgwick,To Be Determined,8,Yes,1036,Oak St,939802.43743,1117756.320447,43.0668448754241,-76.1357767838559,-8475396.15798842,5322153.17313736,oak
35610,81957,"Maple, Hedge",Acer campestre,1.0,Westcott,Spring 2022,35,Yes,401,Maple St,942591.390162,1110376.37455,43.0465551096868,-76.1254906886172,-8474251.11456386,5319062.00882886,maple
35611,81958,"Maple, Hedge",Acer campestre,1.0,Westcott,Spring 2022,35,Yes,401,Maple St,942588.398271071,1110406.10529036,43.0466367273051,-76.125501274463,-8474252.29297589,5319074.44129906,maple
35612,81959,"Maple, Hedge",Acer campestre,1.0,Westcott,Spring 2022,35,Yes,101,Maple Ter,942592.096587461,1110320.96845924,43.0464030802836,-76.1254891765053,-8474250.946235,5319038.85087014,maple
