FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2,tree_name
20019,69271,"Maple, Hedge",Acer campestre,2.0,Northside,Spring 2013,15,Yes,705,Oak St,939688.169896,1116132.310859,43.0623907260174,-76.1362367764739,-8475447.36411157,5321474.49176774,maple
20020,69272,"Maple, Hedge",Acer campestre,2.0,Northside,Spring 2013,15,Yes,705,Oak St,939651.668565,1116128.720564,43.0623814087942,-76.1363734328645,-8475462.57663623,5321473.07214779,maple
20324,69574,"Maple, Tatarian",Acer tataricum,4.0,Northside,Spring 2013,8,Yes,1223,Oak St,939591.43801101,1118582.63633,43.0691151355209,-76.1365499166,-8475482.22277569,5322499.1129734,maple
20325,69575,"Maple, Silver",Acer saccharinum,12.0,Northside,To Be Determined,8,Yes,1217,Oak St,939595.353982004,1118535.64468499,43.0689861467,-76.1365361982,-8475480.69565557,5322479.45744598,maple
20339,69589,"Maple, Hedge",Acer campestre,25.0,Northside,To Be Determined,8,Yes,1109,Oak St,939627.720852992,1117900.81283599,43.0672438765,-76.1364277255,-8475468.62050619,5322213.97156566,maple
20340,69590,"Maple, Norway",Acer platanoides,9.0,Northside,To Be Determined,8,Yes,1007,Oak St,939652.482144997,1117400.08449899,43.0658696587,-76.1363450459901,-8475459.41665209,5322004.57457449,maple
20344,69594,"Maple, Tatarian",Acer tataricum,5.0,Northside,To Be Determined,15,Yes,827,Oak St,939688.778844,1116756.583123,43.0641035432694,-76.1362220507904,-8475445.72486984,5321735.46890547,maple
20348,69598,"Maple, Hedge",Acer campestre,18.0,Northside,To Be Determined,15,Yes,705,Oak St,939720.610355,1116203.373422,43.0625852272614,-76.1361139698753,-8475433.69334077,5321504.12700793,maple
20349,69599,"Maple, Hedge",Acer campestre,15.0,Northside,To Be Determined,15,Yes,705,Oak St,939720.610355,1116173.737188,43.0625039138264,-76.1361145609135,-8475433.75913418,5321491.73765097,maple
20359,69609,"Maple, Hedge",Acer campestre,20.0,Northside,To Be Determined,Unassigned,No,531,Oak St,939813.889792,1115420.39214,43.0604355834628,-76.13578055162,-8475396.57736032,5321176.6011207,maple
20360,69610,"Maple, Hedge",Acer campestre,12.0,Northside,To Be Determined,Unassigned,No,531,Oak St,939830.907025,1115396.771448,43.060370525914,-76.1357173480838,-8475389.54157204,5321166.68894555,maple
20362,69612,"Maple, Hedge",Acer campestre,24.0,Northside,To Be Determined,Unassigned,No,527,Oak St,939875.473859,1115330.746509,43.0601887197421,-76.1355519066236,-8475371.12470545,5321138.9889933,maple
20363,69613,"maple, Amur",Acer tataricum ginnala,13.0,Northside,To Be Determined,Unassigned,No,523,Oak St,939952.227851,1115214.377553,43.0598683120734,-76.1352670350808,-8475339.41293743,5321090.1719444,maple
20608,69026,"Maple, Hedge",Acer campestre,12.0,Lincoln Hill,To Be Determined,24,Yes,315,Oak St,940425.479633011,1114280.10371999,43.0572979815,-76.1335149793,-8475144.37489686,5320698.56771995,maple
20609,69027,"Maple, Hedge",Acer campestre,22.0,Lincoln Hill,To Be Determined,24,Yes,315,Oak St,940425.479633015,1114251.688658,43.0572200186,-76.1335155492,-8475144.43833411,5320686.68988823,maple
20614,69032,"Maple, Norway",Acer platanoides,14.0,Lincoln Hill,To Be Determined,24,Yes,311,Oak St,940433.837004004,1114121.31366998,43.0568621834,-76.1334868941,-8475141.24846332,5320632.17306856,maple
