FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2,tree_name,substring_match,whole_word_match
1748,47404,"Oak, Red",Quercus rubra,3.0,Southside,To Be Determined,53,Yes,520,Oakwood Ave,937427.62,1105390.13,43.0329498461357,-76.1449055285366,-8476412.36524186,5316989.80699369,oak,True,False
3125,49260,"Maple, Norway",Acer platanoides,14.0,Westcott,To Be Determined,35,Yes,170,Maple Ter,943373.56,1110005.19,43.0455249400227,-76.1225722571846,-8473926.23614922,5318905.08883467,maple,True,True
3553,48597,"maple, Amur",Acer tataricum ginnala,8.0,South Valley,To Be Determined,61.03,Yes,174,Maplewood Ave,938539.39,1089067.89,42.9881497987158,-76.1410688094783,-8475985.26311691,5310169.6091447,maple,True,False
3703,49465,"Maple, Norway",Acer platanoides,24.0,South Valley,To Be Determined,61.03,Yes,153,Maplewood Ave,938328.03,1089093.29,42.9882225396332,-76.1418582497015,-8476073.14322956,5310180.67892455,maple,True,False
3707,49466,"Maple, Silver",Acer saccharinum,28.0,South Valley,To Be Determined,61.03,Yes,147,Maplewood Ave,938256.63,1089096.66,42.9882328150318,-76.1421250349706,-8476102.84163955,5310182.24264427,maple,True,False
4453,50389,"Maple, Boxelder",Acer negundo,3.0,Near Eastside,To Be Determined,35,Yes,203,Maple St,942713.120000003,1111274.39999999,43.0490172172,-76.12501696,-8474198.37933677,5319437.05863695,maple,True,True
5088,51275,"Oak, Black",Quercus velutina,1.0,South Valley,Spring 2017,61.03,Yes,124,Oakley Dr E,938085.57,1088672.06,42.987070279113,-76.1427726773163,-8476174.93686925,5310005.32831385,oak,True,False
5664,50606,"Maple, Norway",Acer platanoides,14.0,Westcott,To Be Determined,35,Yes,170,Maple Ter,943343.53,1110002.09,43.0455168867193,-76.1226846594941,-8473938.74872106,5318903.86212946,maple,True,True
5667,50607,"Maple, Norway",Acer platanoides,17.0,Westcott,To Be Determined,35,Yes,160,Maple Ter,943218.74,1109994.53,43.0454980222534,-76.1231516390901,-8473990.73266854,5318900.98863241,maple,True,True
5669,50608,"Maple, Norway",Acer platanoides,16.0,Westcott,To Be Determined,35,Yes,154,Maple Ter,943092.07,1109986.36,43.0454775104615,-76.1236256637665,-8474043.50087102,5318897.8642105,maple,True,True
