name,length_ft,endpoint_a,endpoint_b,intersection_to_intersection,wholly_inside,source_segments,source_ids,lon,lat
SOUTH AVENUE,15.709438501844913,HOVEY STREET,MARGINAL STREET,True,True,1,800051053,-76.15872385271695,43.030864026945714
OAKWOOD AVENUE,16.178622391838662,EAST RAYNOR AVENUE,TRUTH TERRACE,True,True,1,800034376,-76.14539666904629,43.03559862694679
NORTH AVENUE,16.325921039523895,ARNETT AVENUE,EASTWOOD ROAD,True,True,1,800048578,-76.11351446742425,43.069816235935384
NORTH MCBRIDE STREET,16.63448808500122,SOUTH MCBRIDE STREET,ERIE BOULEVARD EAST,True,True,1,800046408,-76.1438545455717,43.050831835077396
BUTTERNUT STREET,17.14083293400162,NORTH MCBRIDE STREET,NORTH MCBRIDE STREET,True,True,1,800037406,-76.14876277814355,43.0591156107392
BUTTERNUT STREET,17.361745478402717,KNAUL STREET,GRASSMAN AVENUE,True,True,1,800047528,-76.14333647906241,43.0663907642387
SOUTH MCBRIDE STREET,17.625243718574584,ERIE BOULEVARD EAST,NORTH MCBRIDE STREET,True,True,1,477434982,-76.1438550225771,43.05078482459155
SUNNYCREST ROAD,18.5140867190146,LUDDINGTON STREET,LUDDINGTON STREET,True,True,1,800052844,-76.09719300487579,43.06224950231908
BUTTERNUT STREET,18.964505475733436,CARBON STREET,SOUTH CARBON STREET,True,True,1,477430880,-76.14335528798776,43.064014601842814
ROBINEAU ROAD,20.976156423872354,TWIN HILLS DRIVE,STRATHMORE DRIVE,True,True,1,477442748,-76.17076400480968,43.02268239388312
JAMES STREET,21.07467883620936,NORTH COLLINGWOOD AVENUE,SOUTH COLLINGWOOD AVENUE,True,True,1,800047558,-76.10750363459448,43.068792875208864
TEALL AVENUE,21.143239739791994,HAWLEY AVENUE,HAWLEY AVENUE,True,True,1,477433097,-76.12203528029467,43.055656604058036
VALLEY DRIVE,21.302058420472996,FISH AVENUE,MAXWELL AVENUE,True,True,1,800034593,-76.15505557865606,43.00667496548694
WHITTIER AVENUE,21.616740294678102,SOUTH LOWELL AVENUE,SOUTH LOWELL AVENUE,True,True,1,800051052,-76.18013346736804,43.0459613175234
HIAWATHA BOULEVARD EAST,22.636626701701577,SIXTH NORTH STREET,SIXTH NORTH STREET,True,True,1,800036193,-76.15877482987365,43.08117450754269
ONONDAGA AVENUE,22.788805030703855,PARKVIEW AVENUE,CENTENNIAL DRIVE,True,True,1,477442020,-76.16232132559716,43.026552635745986
SOUTH SALINA STREET,22.808069826542102,HILTON ROAD,CONIFER DRIVE,True,True,1,800048270,-76.14415349816281,42.990555506499334
ROBINEAU ROAD,23.137598501563232,STRATHMORE DRIVE,TWIN HILLS DRIVE,True,True,1,800050423,-76.17075991073727,43.022621936332975
TEALL AVENUE,23.385015860583145,COLUMBUS AVENUE,ERIE BOULEVARD EAST,True,True,1,477435406,-76.1215837919702,43.04951712994715
WHITTIER AVENUE,24.061388977834653,SOUTH LOWELL AVENUE,SOUTH LOWELL AVENUE,True,True,1,800051057,-76.18020933009566,43.04593245768918
HILLSIDE STREET,24.266775374762872,LOMA AVENUE,HUNTLEY STREET,True,True,1,477428131,-76.14215380208749,43.07744365762244
BURT STREET,24.34402874894173,OAKWOOD AVENUE,OAKWOOD AVENUE,True,True,1,800052224,-76.14558253991343,43.0383161135392
GRANT BOULEVARD,25.067511222983295,VILLAGE DRIVE,VILLAGE DRIVE,True,True,1,800047552,-76.11852159955113,43.07013667637611
VILLAGE DRIVE,25.32231931831672,DEAD END / SAME-NAME BRANCH,DEAD END / SAME-NAME BRANCH,False,True,1,800047550,-76.11807276440288,43.070664916324134
SOUTH AVENUE,25.679168308154665,ELMHURST AVENUE,HILLVIEW AVENUE,True,True,1,477443072,-76.15948174651211,43.02082211739722
JAMES STREET,26.075830715694263,SOUTH EDWARDS AVENUE,NORTH EDWARDS AVENUE,True,True,1,800047551,-76.1064126131655,43.06884941310554
SOUTH GEDDES STREET,26.576732204621404,SHONNARD STREET,GRAND AVENUE,True,True,1,477438028,-76.17201733969267,43.04097262337247
GRANT BOULEVARD,27.010928863499196,HIGHLAND STREET,DEAD END / SAME-NAME BRANCH,False,True,1,477429189,-76.14189779839037,43.07214811885984
EAST ADAMS STREET,27.010930186472127,SOUTH TOWNSEND STREET,SOUTH TOWNSEND STREET,True,True,1,509998037,-76.14573080729971,43.042755076874364
JAMES STREET,27.04151806144898,PLYMOUTH DRIVE,LAMSON STREET,True,True,1,477429757,-76.10003282428114,43.069151123419864
COURT STREET,27.325516319147216,WILLUMAE DRIVE,WILLUMAE DRIVE,True,True,1,477428350,-76.15038982835387,43.07632113603572
LINCOLN PARK DRIVE,27.65594103287739,ROBINCROFT ROAD,MATHER STREET,True,True,1,477432390,-76.12907776354884,43.05793562500051
SUMMIT AVENUE,27.739485408327955,WEST COLVIN STREET,WEST COLVIN STREET,True,True,1,477442718,-76.16567785685785,43.02281760640432
VALLEY DRIVE,27.793525469581176,MEDORA PLACE,GRIFFIN STREET,True,True,1,477443977,-76.15907430660985,43.01436412422294
