name,base,suffix,base_characters,full_characters,suffix_characters,suffix_minus_base
FAY ROAD,FAY,ROAD,3,7,4,1
LEA LANE,LEA,LANE,3,7,4,1
AVON ROAD,AVON,ROAD,4,8,4,0
CROUSE DR,CROUSE DR,,8,8,0,-8
EDNA ROAD,EDNA,ROAD,4,8,4,0
GAME ROAD,GAME,ROAD,4,8,4,0
HODES WAY,HODES,WAY,5,8,3,-2
KANE ROAD,KANE,ROAD,4,8,4,0
OAK PLACE,OAK,PLACE,3,8,5,2
PARK ROAD,PARK,ROAD,4,8,4,0
POND LANE,POND,LANE,4,8,4,0
ROSS PARK,ROSS,PARK,4,8,4,0
ACORN PATH,ACORN,PATH,5,9,4,-1
AMY STREET,AMY,STREET,3,9,6,3
ARBOR LANE,ARBOR,LANE,5,9,4,-1
ASH STREET,ASH,STREET,3,9,6,3
BANK ALLEY,BANK,ALLEY,4,9,5,1
DUKE DRIVE,DUKE,DRIVE,4,9,5,1
DYER COURT,DYER,COURT,4,9,5,1
EDTIM ROAD,EDTIM,ROAD,5,9,4,-1
ELK STREET,ELK,STREET,3,9,6,3
ELM STREET,ELM,STREET,3,9,6,3
GAGE COURT,GAGE,COURT,4,9,5,1
GAIS DRIVE,GAIS,DRIVE,4,9,5,1
IDA AVENUE,IDA,AVENUE,3,9,6,3
KEEN PLACE,KEEN,PLACE,4,9,5,1
LACY PLACE,LACY,PLACE,4,9,5,1
LOCK ALLEY,LOCK,ALLEY,4,9,5,1
MAY AVENUE,MAY,AVENUE,3,9,6,3
NEW STREET,NEW,STREET,3,9,6,3
OAK STREET,OAK,STREET,3,9,6,3
ROE AVENUE,ROE,AVENUE,3,9,6,3
RONEY LANE,RONEY,LANE,5,9,4,-1
RONEY ROAD,RONEY,ROAD,5,9,4,-1
RUGBY ROAD,RUGBY,ROAD,5,9,4,-1
SMALL ROAD,SMALL,ROAD,5,9,4,-1
SMITH LANE,SMITH,LANE,5,9,4,-1
SMITH ROAD,SMITH,ROAD,5,9,4,-1
WILL COURT,WILL,COURT,4,9,5,1
ALBERT ROAD,ALBERT,ROAD,6,10,4,-2
AMES AVENUE,AMES,AVENUE,4,10,6,2
ARCH STREET,ARCH,STREET,4,10,6,2
ARCHER ROAD,ARCHER,ROAD,6,10,4,-2
ARDEN DRIVE,ARDEN,DRIVE,5,10,5,0
ARNTS PLACE,ARNTS,PLACE,5,10,5,0
BALL AVENUE,BALL,AVENUE,4,10,6,2
BALL CIRCLE,BALL,CIRCLE,4,10,6,2
BEACON ROAD,BEACON,ROAD,6,10,4,-2
BEAR STREET,BEAR,STREET,4,10,6,2
BEARD PLACE,BEARD,PLACE,5,10,5,0
BOISE DRIVE,BOISE,DRIVE,5,10,5,0
BURT STREET,BURT,STREET,4,10,6,2
BYRNE PLACE,BYRNE,PLACE,5,10,5,0
CALVIN ROAD,CALVIN,ROAD,6,10,4,-2
CAMP AVENUE,CAMP,AVENUE,4,10,6,2
CHAPPLE WAY,CHAPPLE,WAY,7,10,3,-4
CIRCLE ROAD,CIRCLE,ROAD,6,10,4,-2
CLAIRE ROAD,CLAIRE,ROAD,6,10,4,-2
CODY AVENUE,CODY,AVENUE,4,10,6,2
COOK AVENUE,COOK,AVENUE,4,10,6,2
DALE STREET,DALE,STREET,4,10,6,2
DELL STREET,DELL,STREET,4,10,6,2
DEWITT ROAD,DEWITT,ROAD,6,10,4,-2
DODGE DRIVE,DODGE,DRIVE,5,10,5,0
DORSET ROAD,DORSET,ROAD,6,10,4,-2
EAST AVENUE,EAST,AVENUE,4,10,6,2
ERIE STREET,ERIE,STREET,4,10,6,2
FAGE AVENUE,FAGE,AVENUE,4,10,6,2
FISH AVENUE,FISH,AVENUE,4,10,6,2
FORD AVENUE,FORD,AVENUE,4,10,6,2
GALE AVENUE,GALE,AVENUE,4,10,6,2
GALE STREET,GALE,STREET,4,10,6,2
GARY AVENUE,GARY,AVENUE,4,10,6,2
GERE AVENUE,GERE,AVENUE,4,10,6,2
GRAY AVENUE,GRAY,AVENUE,4,10,6,2
HADDON ROAD,HADDON,ROAD,6,10,4,-2
HALL AVENUE,HALL,AVENUE,4,10,6,2
HERZ STREET,HERZ,STREET,4,10,6,2
HIER AVENUE,HIER,AVENUE,4,10,6,2
HIGH STREET,HIGH,STREET,4,10,6,2
HILTON ROAD,HILTON,ROAD,6,10,4,-2
HOOD AVENUE,HOOD,AVENUE,4,10,6,2
HOPE AVENUE,HOPE,AVENUE,4,10,6,2
HOPPER ROAD,HOPPER,ROAD,6,10,4,-2
HUNT AVENUE,HUNT,AVENUE,4,10,6,2
IVES AVENUE,IVES,AVENUE,4,10,6,2
JANET DRIVE,JANET,DRIVE,5,10,5,0
JEAN AVENUE,JEAN,AVENUE,4,10,6,2
JOHN STREET,JOHN,STREET,4,10,6,2
KIDD AVENUE,KIDD,AVENUE,4,10,6,2
KIMBER ROAD,KIMBER,ROAD,6,10,4,-2
KING STREET,KING,STREET,4,10,6,2
KIRK AVENUE,KIRK,AVENUE,4,10,6,2
KUHL AVENUE,KUHL,AVENUE,4,10,6,2
LEON STREET,LEON,STREET,4,10,6,2
LIGHT COURT,LIGHT,COURT,5,10,5,0
LIME STREET,LIME,STREET,4,10,6,2
