name,id,length_ft,fcc,wholly_inside,lon,lat
SPAULDING AVENUE,800049637,7.343334830089758,A41,True,-76.14694263731164,42.98697009440806
PINE STREET,800066545,9.45376582474151,A41,True,-76.12973572829367,43.050186645615554
SOUTH BEECH STREET,800066570,9.902548459777632,A41,True,-76.1276288622963,43.050153054766106
WALNUT AVENUE,800066603,10.225148784121643,A41,True,-76.132032611779,43.05021655245452
ONONDAGA CREEK BOULEVARD,800047584,11.080825360119766,A41,True,-76.15713217143268,43.01513419125072
UNIVERSITY AVENUE,800066616,11.490342134871105,A41,True,-76.13425056613934,43.05024381904201
SOUTH CROUSE AVENUE,800066609,12.019065220110903,A41,True,-76.13647058572654,43.050270144270605
OAKWOOD AVENUE,477453878,12.167400841225877,A41,True,-76.14555327369754,43.037430305855025
CATHERINE STREET,477434613,12.37612185521212,A41,True,-76.14210781866333,43.05148763395942
ALMOND STREET,800065746,12.625534997638155,A41,True,-76.14212356478274,43.05034125827216
EAST GENESEE STREET,477436108,13.033431363773174,A37,True,-76.14250355034784,43.047274433699776
SOUTH TOWNSEND STREET,800066555,13.425923086902714,A41,True,-76.14557491725729,43.05038518215427
SOUTH MCBRIDE STREET,800066586,13.756368941986038,A41,True,-76.1438604762492,43.05036377836129
FORMAN AVENUE,800066557,13.858310261522357,A41,True,-76.1398985379861,43.05031564696062
NORTH CLINTON STREET,800042031,14.284766273420827,A40,True,-76.15345162818825,43.05416619260258
NORTH CLINTON STREET,477433575,14.466761404377273,A40,True,-76.1534513173715,43.054205637054785
EAST TAYLOR STREET,477438428,14.566595247032918,A41,True,-76.14220993420476,43.03951627708737
RICH STREET,477441252,15.095240856322873,A41,True,-76.16100628994218,43.029810591818865
NORTH FRANKLIN STREET,477433605,15.146206015578722,A31,True,-76.15483435370037,43.05410316505212
SOUTH AVENUE,800080348,15.154745108884736,A31,True,-76.15834700137395,43.02729002253699
HARRISON STREET,477436882,15.37627648664968,A40,True,-76.14255508175823,43.044379908135234
WEST NEWELL STREET,477443709,15.42189516490864,A41,True,-76.15723748452933,43.01647698271132
SMITH STREET,477453882,15.442756349628185,A41,True,-76.09087092241474,43.05508893795287
EAST ADAMS STREET,477437410,15.444904631115074,A30,True,-76.14248297848167,43.04271985474025
JACKSON STREET,477438193,15.627309256278584,A43,True,-76.1424427415935,43.040411971566975
DYER COURT,477438191,15.62747543093979,A43,True,-76.14238429854848,43.040413266619574
EAST ADAMS STREET,477437408,15.680535801734797,A30,True,-76.14254116281235,43.04272103879081
SOUTH AVENUE,800051053,15.709438501844913,A41,True,-76.15872385271695,43.030864026945714
HARRISON STREET,477436885,15.801332729458947,A40,True,-76.142496770317,43.044379895989955
SOUTH AVENUE,800040253,15.996851650690726,A41,True,-76.15862627770987,43.03049711039298
OAKWOOD AVENUE,800034376,16.178622391838662,A41,True,-76.14539666904629,43.03559862694679
SALT SPRINGS ROAD,800029905,16.325066299844714,A31,True,-76.0974691348682,43.04721801607168
NORTH AVENUE,800048578,16.325921039523895,A41,True,-76.11351446742425,43.069816235935384
PLUM STREET,477433107,16.446427539148925,A41,True,-76.15966149534859,43.05574028956115
NORTH MCBRIDE STREET,800046408,16.63448808500122,A41,True,-76.1438545455717,43.050831835077396
SOUTH STATE STREET,800066572,16.823174273336665,A21,True,-76.14737850707425,43.05041154211255
TALLMAN STREET,800040240,16.84253752200938,A41,True,-76.15481641479488,43.03638200509453
BURT STREET,800036340,16.957464525528952,A41,True,-76.1422029686681,43.03848033684977
BUTTERNUT STREET,800037406,17.14083293400162,A41,True,-76.14876277814355,43.0591156107392
TULLY STREET,800040238,17.195751725825115,A41,True,-76.15831390474153,43.045758729209815
EAST TAYLOR STREET,477438431,17.35905775268407,A41,True,-76.14226958278833,43.03951448860972
BUTTERNUT STREET,800047528,17.361745478402717,A41,True,-76.14333647906241,43.0663907642387
PEAT STREET,800066458,17.612309526930055,A41,True,-76.11504823701432,43.051139730086526
SOUTH MCBRIDE STREET,477434982,17.625243718574584,A41,True,-76.1438550225771,43.05078482459155
EAST TAYLOR STREET,477438434,17.646153659881556,A41,True,-76.1423350421251,43.03951325000275
WEST JEFFERSON STREET,800036944,17.834974593127303,A41,True,-76.15857558802496,43.04712230663456
BURT STREET,477438822,17.913718160176487,A41,True,-76.1421377900548,43.038482103692495
COLUMBUS AVENUE,477435419,18.254195319835812,A31,True,-76.1215682830076,43.0494611361555
SALT SPRINGS ROAD,800029894,18.266406761126166,A31,True,-76.09997064244811,43.046817579351234
ERIE BOULEVARD EAST,509997409,18.326672350368575,A25,True,-76.14506689526091,43.050828293501866
TEMPLE STREET,800040284,18.46039284128979,A41,True,-76.15554245027886,43.03962902108669
SUNNYCREST ROAD,800052844,18.5140867190146,A41,True,-76.09719300487579,43.06224950231908
VALLEY DRIVE,800049156,18.713929813722483,A31,True,-76.15750338450023,43.011401410327714
NORTH TOWNSEND STREET,800036395,18.757231410782396,A41,True,-76.14558609813815,43.0513750853783
HOEFLER STREET,800050999,18.793345947042578,A41,True,-76.17971228954309,43.036776860270535
EAST GENESEE STREET,508421664,18.940531128085183,A37,True,-76.14255330174014,43.04729865552944
BUTTERNUT STREET,477430880,18.964505475733436,A41,True,-76.14335528798776,43.064014601842814
FABIUS STREET,800040251,19.167420057659072,A41,True,-76.15811430492829,43.044793110795446
MARKET STREET,800066624,19.287523603564413,A40,True,-76.14886009128453,43.05043184502635
ROCKWOOD PLACE,477442741,19.376772953032326,A41,True,-76.19821689403919,43.02281829960186
VELASKO ROAD,477439790,20.107263961332965,A31,True,-76.18822252744371,43.03565398007188
DESTINY USA DRIVE,477429759,20.23742947033317,A41,True,-76.16978080906512,43.06916712301401
MCCORMICK AVENUE,800040236,20.255973015662825,A40,True,-76.15794431088615,43.04393704294185
GIFFORD STREET,800040247,20.467693707395796,A40,True,-76.15784407956089,43.04347100493569
SALISBURY ROAD,477437749,20.47826407324609,A41,True,-76.20127619747336,43.04173831172473
EAST FAYETTE STREET,800037806,20.537506655954676,A41,True,-76.11373475723876,43.04820123010544
ELMHURST AVENUE,477443040,20.670217291465885,A41,True,-76.15476787298151,43.02096402249755
SALT SPRINGS ROAD,800029910,20.714850455922814,A31,True,-76.09500588878424,43.04761566803243
ROBINEAU ROAD,477442748,20.976156423872354,A41,True,-76.17076400480968,43.02268239388312
JAMES STREET,800047558,21.07467883620936,A31,True,-76.10750363459448,43.068792875208864
TEALL AVENUE,477433097,21.143239739791994,A31,True,-76.12203528029467,43.055656604058036
EAST GENESEE STREET,477741204,21.159957474751362,A37,True,-76.14262543646285,43.04743070343582
NORTH STATE STREET,800036405,21.188098123590358,A23,True,-76.14737441945614,43.05110532079657
SOUTH WEST STREET,800036741,21.197825458821217,A37,True,-76.15885697989734,43.048287395733254
VALLEY DRIVE,800034593,21.302058420472996,A31,True,-76.15505557865606,43.00667496548694
BURT STREET,477438820,21.395933377425905,A41,True,-76.14206428361047,43.03848360298263
WHITTIER AVENUE,800051052,21.616740294678102,A40,True,-76.18013346736804,43.0459613175234
NORTH CROUSE AVENUE,800039036,21.634624190052044,A43,True,-76.13645272452432,43.051412762856735
BEAR STREET,800036478,21.712857826617075,A31,True,-76.16372943527091,43.066419969492685
WEST ONONDAGA STREET,477440296,21.757867997950292,A31,True,-76.18262096751066,43.0336692226236
LODI STREET,800053240,21.771228621120365,A31,True,-76.13931014371134,43.055755377999716
SOUTH AVENUE,800051062,21.82110001135035,A41,True,-76.15864290687028,43.03054752708413
BURNET AVENUE,477431371,21.954789864362457,A41,False,-76.08612628339864,43.06195158538672
HOLDEN STREET,800051002,22.11779708845219,A41,True,-76.18090457041905,43.03668425664429
MEDORA PLACE,800047587,22.396200609858962,A41,True,-76.15736999457246,43.01477261987876
WEST BRIGHTON AVENUE,477443305,22.551041874083825,A31,True,-76.15414150558793,43.01937725219088
HIAWATHA BOULEVARD EAST,800036193,22.636626701701577,A31,True,-76.15877482987365,43.08117450754269
NORTH CROUSE AVENUE,508421203,22.697015718415738,A43,True,-76.13643596196073,43.05160648507804
ONONDAGA AVENUE,477442020,22.788805030703855,A41,True,-76.16232132559716,43.026552635745986
SOUTH SALINA STREET,800048270,22.808069826542102,A21,True,-76.14415349816281,42.990555506499334
NORTH TOWNSEND STREET,509997429,22.948912507833835,A41,True,-76.1455653268435,43.05114411542438
NORTHCLIFFE ROAD,477430152,23.088956902537532,A41,False,-76.09017678611919,43.06717761558856
ROBINEAU ROAD,800050423,23.137598501563232,A41,True,-76.17075991073727,43.022621936332975
VALLEY VIEW DRIVE,800039466,23.273771065759412,A41,True,-76.157988651279,43.00983664673934
TEALL AVENUE,477435406,23.385015860583145,A31,True,-76.1215837919702,43.04951712994715
SAINT LOUIS AVENUE,800039454,23.388539552439276,A41,True,-76.15789571562374,43.008959829786306
CATHERINE STREET,508421189,23.44883368262505,A41,True,-76.14210550370575,43.0517744535401
SOUTH MIDLER AVENUE,477433160,23.654880157919653,A31,True,-76.10391176225161,43.055377879551244
SOUTH WARREN STREET,800066620,23.661812515193468,A40,True,-76.15076688001082,43.050485165867975
WEST BEAR STREET,477430363,23.670908893264446,A31,True,-76.16381833839178,43.06629963370346
WHITTIER AVENUE,800051057,24.061388977834653,A40,True,-76.18020933009566,43.04593245768918
SOUTH STATE STREET,477438564,24.103011657810427,A23,True,-76.14745578733957,43.03927360743783
NORTH STATE STREET,477434570,24.165602294118003,A27,True,-76.14780670613266,43.05174259096697
HILLSIDE STREET,477428131,24.266775374762872,A41,True,-76.14215380208749,43.07744365762244
SPENCER STREET,477432459,24.290018355917862,A41,True,-76.16337063647187,43.05773771412778
EAST WASHINGTON STREET,477435413,24.302473826656946,A41,True,-76.14270479588139,43.049479617402746
BURT STREET,800052224,24.34402874894173,A41,True,-76.14558253991343,43.0383161135392
TEALL AVENUE,477429072,24.344685552707404,A31,False,-76.12319494783387,43.07293538055199
EAST WILLOW STREET,477434024,24.352884056789534,A41,True,-76.14985931164198,43.0528330918681
SMITH STREET,477453881,24.366858439591102,A41,True,-76.09087685713611,43.05514318091809
NORTH SALINA STREET,477433447,24.55020443638413,A31,True,-76.15211622682341,43.054497265862246
THOMPSON ROAD,800066448,24.63367929920912,A31,True,-76.08317440634222,43.0556185264868
