name,base,suffix,base_characters,full_characters,suffix_characters,suffix_minus_base
FAY ROAD,FAY,ROAD,3,7,4,1
LEA LANE,LEA,LANE,3,7,4,1
OAK PLACE,OAK,PLACE,3,8,5,2
AMY STREET,AMY,STREET,3,9,6,3
ASH STREET,ASH,STREET,3,9,6,3
BANK ALLEY,BANK,ALLEY,4,9,5,1
DUKE DRIVE,DUKE,DRIVE,4,9,5,1
DYER COURT,DYER,COURT,4,9,5,1
ELK STREET,ELK,STREET,3,9,6,3
ELM STREET,ELM,STREET,3,9,6,3
GAGE COURT,GAGE,COURT,4,9,5,1
GAIS DRIVE,GAIS,DRIVE,4,9,5,1
IDA AVENUE,IDA,AVENUE,3,9,6,3
KEEN PLACE,KEEN,PLACE,4,9,5,1
LACY PLACE,LACY,PLACE,4,9,5,1
LOCK ALLEY,LOCK,ALLEY,4,9,5,1
MAY AVENUE,MAY,AVENUE,3,9,6,3
NEW STREET,NEW,STREET,3,9,6,3
OAK STREET,OAK,STREET,3,9,6,3
ROE AVENUE,ROE,AVENUE,3,9,6,3
WILL COURT,WILL,COURT,4,9,5,1
AMES AVENUE,AMES,AVENUE,4,10,6,2
ARCH STREET,ARCH,STREET,4,10,6,2
BALL AVENUE,BALL,AVENUE,4,10,6,2
BALL CIRCLE,BALL,CIRCLE,4,10,6,2
BEAR STREET,BEAR,STREET,4,10,6,2
BURT STREET,BURT,STREET,4,10,6,2
CAMP AVENUE,CAMP,AVENUE,4,10,6,2
CODY AVENUE,CODY,AVENUE,4,10,6,2
COOK AVENUE,COOK,AVENUE,4,10,6,2
DALE STREET,DALE,STREET,4,10,6,2
DELL STREET,DELL,STREET,4,10,6,2
EAST AVENUE,EAST,AVENUE,4,10,6,2
ERIE STREET,ERIE,STREET,4,10,6,2
FAGE AVENUE,FAGE,AVENUE,4,10,6,2
FISH AVENUE,FISH,AVENUE,4,10,6,2
FORD AVENUE,FORD,AVENUE,4,10,6,2
GALE AVENUE,GALE,AVENUE,4,10,6,2
GALE STREET,GALE,STREET,4,10,6,2
GARY AVENUE,GARY,AVENUE,4,10,6,2
GERE AVENUE,GERE,AVENUE,4,10,6,2
GRAY AVENUE,GRAY,AVENUE,4,10,6,2
HALL AVENUE,HALL,AVENUE,4,10,6,2
HERZ STREET,HERZ,STREET,4,10,6,2
HIER AVENUE,HIER,AVENUE,4,10,6,2
HIGH STREET,HIGH,STREET,4,10,6,2
HOOD AVENUE,HOOD,AVENUE,4,10,6,2
HOPE AVENUE,HOPE,AVENUE,4,10,6,2
HUNT AVENUE,HUNT,AVENUE,4,10,6,2
IVES AVENUE,IVES,AVENUE,4,10,6,2
JEAN AVENUE,JEAN,AVENUE,4,10,6,2
JOHN STREET,JOHN,STREET,4,10,6,2
KIDD AVENUE,KIDD,AVENUE,4,10,6,2
KING STREET,KING,STREET,4,10,6,2
KIRK AVENUE,KIRK,AVENUE,4,10,6,2
KUHL AVENUE,KUHL,AVENUE,4,10,6,2
LEON STREET,LEON,STREET,4,10,6,2
LIME STREET,LIME,STREET,4,10,6,2
LODI STREET,LODI,STREET,4,10,6,2
LOMA AVENUE,LOMA,AVENUE,4,10,6,2
LYNN CIRCLE,LYNN,CIRCLE,4,10,6,2
MARK AVENUE,MARK,AVENUE,4,10,6,2
MARY STREET,MARY,STREET,4,10,6,2
MERZ AVENUE,MERZ,AVENUE,4,10,6,2
OTTO STREET,OTTO,STREET,4,10,6,2
PAGE AVENUE,PAGE,AVENUE,4,10,6,2
PARK AVENUE,PARK,AVENUE,4,10,6,2
PARK STREET,PARK,STREET,4,10,6,2
PAUL AVENUE,PAUL,AVENUE,4,10,6,2
PEAT STREET,PEAT,STREET,4,10,6,2
PECK AVENUE,PECK,AVENUE,4,10,6,2
PINE STREET,PINE,STREET,4,10,6,2
PLUM STREET,PLUM,STREET,4,10,6,2
POLK STREET,POLK,STREET,4,10,6,2
POND STREET,POND,STREET,4,10,6,2
RANN AVENUE,RANN,AVENUE,4,10,6,2
REED AVENUE,REED,AVENUE,4,10,6,2
RICH STREET,RICH,STREET,4,10,6,2
RIGI AVENUE,RIGI,AVENUE,4,10,6,2
RILL AVENUE,RILL,AVENUE,4,10,6,2
ROSE AVENUE,ROSE,AVENUE,4,10,6,2
RUTH AVENUE,RUTH,AVENUE,4,10,6,2
SALT STREET,SALT,STREET,4,10,6,2
SAND STREET,SAND,STREET,4,10,6,2
TAFT AVENUE,TAFT,AVENUE,4,10,6,2
VALE STREET,VALE,STREET,4,10,6,2
VANN STREET,VANN,STREET,4,10,6,2
VINE STREET,VINE,STREET,4,10,6,2
WALL STREET,WALL,STREET,4,10,6,2
WILL AVENUE,WILL,AVENUE,4,10,6,2
WOLF STREET,WOLF,STREET,4,10,6,2
WOOD AVENUE,WOOD,AVENUE,4,10,6,2
YALE AVENUE,YALE,AVENUE,4,10,6,2
ALDEN STREET,ALDEN,STREET,5,11,6,1
ALLEN STREET,ALLEN,STREET,5,11,6,1
ALTON STREET,ALTON,STREET,5,11,6,1
APPLE STREET,APPLE,STREET,5,11,6,1
AVERY AVENUE,AVERY,AVENUE,5,11,6,1
AVOCA STREET,AVOCA,STREET,5,11,6,1
BAKER AVENUE,BAKER,AVENUE,5,11,6,1
