name,length_ft,components,wholly_inside
LEPAGE PLACE,0.5516560339598986,1,False
ARDMORE ROAD,32.13306000558033,1,False
YALE AVENUE,33.50544668114094,1,False
LAKEVIEW ROAD,36.76083719286252,1,False
WESTMONT ROAD,36.94910215281733,1,False
WEST HIGH TERRACE,51.621798036856404,1,False
DIPPOLD AVENUE,53.62443401797075,1,False
SPRING LANE,64.37446400867464,1,True
MONTROSE AVENUE,65.90956105716802,1,False
MEADE COURT,71.29839533393361,1,True
FAY ROAD,72.78702546443182,1,False
PAGE AVENUE,75.06430469741078,1,True
WEST LAUREL STREET,80.93980061305632,1,True
CORCORAN COURT,91.70688895163948,1,True
COSTELLO COURT,94.50532334959179,1,True
BENHAM AVENUE,95.5598502308541,1,False
WILL COURT,98.44862929925341,1,True
SCHOENECK COURT,109.3338293627988,1,True
GAIS DRIVE,110.13889141990768,1,True
SIZER STREET,111.67992482649325,1,True
GREEN STREET ANNEX,114.1285951256115,1,True
GALE STREET,115.14265685297507,1,True
PARK ROAD,115.6092422861329,1,True
J STANLEY COYNE CIRCLE,124.85078372342711,1,True
GRAPE TERRACE,125.73537639269848,1,True
GRANVILLE STREET,127.57236014943216,1,False
EAST DALE STREET,128.8400318606865,1,False
GREEN STREET COURT,133.2580826267116,1,True
SMILEY DRIVE,139.85725786678228,1,True
MORNINGSIDE TERRACE,142.7012433072248,1,True
LANDMARK PLACE,147.77000724795195,1,True
PRINCETON AVENUE,154.20620466944777,1,True
BROOKSIDE DRIVE,157.50685003866084,1,False
IDA AVENUE,160.62718433438263,1,False
DECKER STREET,161.8715009162528,1,True
SHERBROOKE ROAD,162.8808270080416,1,False
EAST PLEASANT AVENUE,163.34761379409053,1,True
TRUTH TERRACE,164.00797037833215,1,True
CRESTVIEW TERRACE,167.89112581346964,1,False
MICHAELS CIRCLE,176.26304447010443,1,True
ONONDAGA BOULEVARD,177.34912248957656,1,False
ALBERT TERRACE,178.12944114158068,1,True
GREEN STREET PLACE,179.05287088587545,1,True
RADCLIFFE ROAD,179.0678129842412,1,False
SIDMAN AVENUE,179.94404698723915,1,True
PALMER LANE,180.23134144224798,1,True
DAYBREAK LANE,181.70427537644676,1,True
DODGE DRIVE,183.75762717888884,1,True
EAST NEWELL STREET,186.64104146070542,1,True
STRATHMORE ROAD,187.77873490976788,1,True
MOREY AVENUE,189.67688251263806,1,True
BOYDEN PLACE,190.46459167740448,1,True
RADISSON COURT,191.45934953398108,1,True
BELMONT STREET,191.4869297623661,1,True
BUNKER HILL WAY,191.55911846913196,1,False
FOREST EDGE DRIVE,194.06997895781234,2,False
ROBINCROFT ROAD,200.46579285363893,1,True
JERICHO DRIVE,201.45718254295917,1,True
EAST GIFFORD PARKWAY,202.6900228854318,1,True
LIGHT COURT,203.18076783974087,1,True
WARNER COURT,203.37400599546018,1,True
GLASS TERRACE,204.04419461541372,1,True
WILL AVENUE,204.15932640583551,1,True
FRISBIE COURT,206.60891687178093,1,True
GAGE COURT,207.95310881510912,1,True
SYCAMORE TERRACE,210.3539472375028,1,False
HIGHRIDGE PLACE,210.62859027761957,1,True
PAVILLION TERRACE,220.1982430371021,1,True
BRONX AVENUE,222.22423764297812,1,True
EAST BELDEN AVENUE,223.62905371286953,1,True
ARGYLE AVENUE,223.70305675257597,1,True
MULBERRY TERRACE,224.5827413391735,1,True
ACADIA AVENUE,226.11954291435734,1,True
DANFORTH TERRACE,227.35231901288915,1,True
CHANNING PLACE,227.99401815599475,1,True
CENTRAL AVENUE,230.61403718894255,1,True
CADWELL PLACE,235.1241409069534,1,True
LINWILL TERRACE,235.30182477489114,1,True
TITUS ALLEY,235.76395822415867,1,True
CHENNAULT DRIVE,241.10723261074216,1,True
JASPER PLACE,242.07524732199866,1,True
COFFEY DRIVE,242.42640164687137,1,True
SHELBOURNE PLACE,246.4545912375243,1,True
EDMUND AVENUE,246.77255018866515,1,True
CRYSLER STREET,247.64308684065324,1,True
THURGOOD TERRACE,249.23796265933055,1,True
MORTON AVENUE,252.15027491782658,1,True
EAST CORNING AVENUE,252.31702516213326,1,True
