name,component,length_ft,full_component_ft,outside_city_ft,wholly_inside,source_segments,source_ids,lon,lat,components_in_city
SPRING LANE,1,64.37446400867464,64.37446400867464,0.0,True,1,477429983,-76.15193328588224,43.06810160163927,1
MEADE COURT,1,71.29839533393361,71.29839533393361,0.0,True,1,477437062,-76.16164334499432,43.04402264464654,1
PAGE AVENUE,1,75.06430469741078,75.06430469741078,0.0,True,1,482659670,-76.17281184633738,43.03186981025155,1
WEST LAUREL STREET,1,80.93980061305632,80.93980061305632,0.0,True,1,477432982,-76.15220832357151,43.056022088959054,1
ONONDAGA LAKE PARKWAY,2,83.67969656175339,83.67969656175339,0.0,True,1,800042162,-76.17328833619322,43.07534678046664,2
SOUTH CLINTON STREET,2,85.46702791503316,85.46702791503316,0.0,True,1,800067173,-76.15139364546533,43.03650703967142,2
CORCORAN COURT,1,91.70688895163948,91.70688895163948,0.0,True,1,481561674,-76.16068183316843,43.04607610670259,1
COSTELLO COURT,1,94.50532334959179,94.50532334959179,0.0,True,1,477437003,-76.16086331935786,43.04425109016543,1
WILL COURT,1,98.44862929925341,98.44862929925341,0.0,True,1,477436913,-76.16006026052436,43.04445310965559,1
WEST KIRKPATRICK STREET,2,104.5464678785551,104.5464678785551,0.0,True,1,477431325,-76.15879851237793,43.06223247180157,2
SCHOENECK COURT,1,109.3338293627988,109.3338293627988,0.0,True,1,477436589,-76.16235128561274,43.04564664724692,1
GAIS DRIVE,1,110.13889141990768,110.13889141990768,0.0,True,1,477436785,-76.10135827198371,43.04476813380936,1
SIZER STREET,1,111.67992482649325,111.67992482649325,0.0,True,1,506986281,-76.14343678947495,43.03656810561257,1
GREEN STREET ANNEX,1,114.1285951256115,114.1285951256115,0.0,True,1,477433145,-76.13708058152905,43.05553639508923,1
GALE STREET,1,115.14265685297507,115.14265685297507,0.0,True,1,477432616,-76.11504026486982,43.05730011411148,1
PARK ROAD,1,115.6092422861329,115.6092422861329,0.0,True,1,477430585,-76.13944531640335,43.06512612814937,1
EAST GENESEE STREET,3,120.87948950119119,120.87948950119119,0.0,True,1,481561664,-76.1498554782962,43.049713482918335,3
FOREST EDGE DRIVE,1,124.49542183734071,124.49542183734071,0.0,True,1,477442577,-76.20219209554246,43.02375326767756,2
J STANLEY COYNE CIRCLE,1,124.85078372342711,124.85078372342711,0.0,True,1,477439574,-76.15527881221077,43.0361916255585,1
GRAPE TERRACE,1,125.73537639269848,125.73537639269848,0.0,True,1,477439458,-76.14569633448127,43.03639660968903,1
GREEN STREET COURT,1,133.2580826267116,133.2580826267116,0.0,True,1,477432981,-76.13581832631519,43.05612813880828,1
SMILEY DRIVE,1,139.85725786678228,139.85725786678228,0.0,True,1,477445190,-76.14630985295031,43.00622920723811,1
MORNINGSIDE TERRACE,1,142.7012433072248,142.7012433072248,0.0,True,1,477441574,-76.1243930556239,43.0286596571943,1
LANDMARK PLACE,1,147.77000724795195,147.77000724795195,0.0,True,1,509997469,-76.14586780578514,43.04906960257395,1
WOODLAND AVENUE,2,149.97021131573663,149.97021131573663,0.0,True,1,477441280,-76.14211125215547,43.029711133559836,2
FITCH STREET,1,153.39320124535223,153.39320124535223,0.0,True,1,477439074,-76.17827926699606,43.03768663481636,3
