name,total_ft,total_miles,longest_connected_sum_miles,components,graph_diameter_miles,source_features,split_class_ft
SOUTH SALINA STREET,24589.845441575828,4.657167697268149,4.657167697268148,1,4.65716769726815,94,0.0
ERIE BOULEVARD EAST,31297.709629361867,5.927596520712474,5.927596520712477,1,4.20605717286813,77,24861.234682344566
EAST GENESEE STREET,22106.530731786985,4.186842941626323,4.104615739108761,3,3.902616936902491,74,2098.219475853137
BURNET AVENUE,17154.99257478636,3.2490516240125684,3.249051624012569,1,3.249051624012568,44,0.0
MEADOWBROOK DRIVE,19581.868419544837,3.7086872006713705,3.4772877645869316,3,3.1960337597931705,53,16319.938298540263
JAMES STREET,16766.241120311097,3.1754244546043746,3.1754244546043755,1,3.17533433851777,64,0.0
MIDLAND AVENUE,14750.534638950272,2.793661863437552,2.793661863437551,1,2.793661863437552,46,0.0
ERIE BOULEVARD WEST,13877.294445198346,2.6282754631057474,2.6282754631057474,1,2.628275463105748,25,0.0
VALLEY DRIVE,13357.18406325103,2.5297697089490585,2.5297697089490594,1,2.529769708949059,39,0.0
GRANT BOULEVARD,14049.404827993254,2.660872126513874,2.660872126513873,1,2.5295410412489603,57,421.62720823187703
EAST FAYETTE STREET,12981.301727622302,2.458579872655739,2.4585798726557395,1,2.4585798726557395,36,0.0
LODI STREET,12444.743605194692,2.356959016135358,2.3569590161353577,1,2.3569590161353586,37,0.0
WEST GENESEE STREET,12177.66220116608,2.3063754168875152,2.3063754168875152,1,2.3063754168875152,36,0.0
SOUTH AVENUE,11839.773760226588,2.2423813939823085,2.2423813939823085,1,2.242381393982309,45,0.0
COMSTOCK AVENUE,11432.617129697144,2.1652683957759744,2.165268395775975,1,2.165268395775975,23,0.0
SOUTH STATE STREET,11371.567275750698,2.153705923437632,2.1537059234376326,1,2.1537059234376326,37,0.0
BELLEVUE AVENUE,11059.168543955635,2.0945394969612945,2.0945394969612945,1,2.094539496961295,41,0.0
EUCLID AVENUE,11253.24816836888,2.1312970015850152,2.1312970015850152,1,2.0727808550216067,33,0.0
WEST ONONDAGA STREET,10886.490744183451,2.061835368216563,2.0618353682165624,1,2.0618353682165615,32,0.0
SOUTH GEDDES STREET,10637.502181229731,2.014678443414722,2.014678443414722,1,2.014678443414722,34,0.0
GLENWOOD AVENUE,10363.880854621599,1.9628562224662118,1.9628562224662118,1,1.9628562224662123,27,0.0
EAST COLVIN STREET,10422.478727782376,1.9739543045042378,1.9739543045042376,1,1.8215869256346404,34,0.0
BUTTERNUT STREET,9637.019115755242,1.8251930143475839,1.8251930143475836,1,1.7986733588982537,43,140.0237807724612
NORTH SALINA STREET,9248.001014078454,1.751515343575465,1.7054088327430437,1,1.7054088327430437,30,486.0569288552346
COURT STREET,9083.144476270258,1.7202925144451244,1.7202925144451244,1,1.6706353791950563,37,0.0
TEALL AVENUE,8942.876507822602,1.6937266113300384,1.6937266113300382,1,1.640391547896312,40,0.0
SALT SPRINGS ROAD,8472.033208775092,1.6045517440861918,1.6045517440861918,1,1.6045517440861925,31,0.0
