name,letters,source_ids
EAST BRIGHTON AVENUE AVENUE NORTHBOUND,34,477444818
GENANT TO NORTH CLINTON CONNECTOR,29,477430853
WEST STREET ARTERIAL NORTHBOUND,28,477433877;477434023;477434950;477435095;477435235;477435371;477435599;477435880;477435979;477436173;477436772;477437214;477437498;477437677;800036938;800037089;800037119
WEST STREET ARTERIAL SOUTHBOUND,28,477433862;477433944;477434349;477436151;477436551;477437219;477437504;504325349;513530734;800037032
ONONDAGA CREEK BOULEVARD EAST,26,477444013;477444151;477444231;477444490
ELIZABETH BLACKWELL STREET,24,477437435
NORTH COLLINGWOOD AVENUE,22,477428908;477429453;477429813
ONONDAGA CREEK BOULEVARD,22,477443565;477443639;477443710;477443823;477443904;477444115;477444256;477444559;800047584;800047588
SOUTH COLLINGWOOD AVENUE,22,477430356;477430874;477431410;477431906;477432374
HIAWATHA BOULEVARD EAST,21,477427426;477427686;477427866;477428093;477428342;477428600;477428847;477429061;477429228;508421423;508421551;508421553;800036177;800036180;800036183;800036193
HIAWATHA BOULEVARD WEST,21,477430595;477430653;477430910;477431312;477431395;477431937;477432059;477432300;477432357;477432460;477432730;477432795;477433117;477433164;508421413;508421427;508421430;508421432;508421434;508421437;508421439;508421440;508421444;508421447;508421453;508421456;508421459;508421465;508421466;508421469;508421474;508421475;508421477;600058795;600058796;800036176;800036186;800036192;800037599;800037602;800037604;800047000
ONONDAGA PARK DRIVE EAST,21,477441625;477441801
VILLAGE DRIVE EXTENSION,21,477429429
WEST KIRKPATRICK STREET,21,477431325;477432432;506021510;506021511;507665328;513531395;513531396;800030682;800032563
CEDAR RIDGE APARTMENTS,20,477434160;477434325
EAST WASHINGTON STREET,20,477435354;477435361;477435377;477435382;477435405;477435413;477435415;477435421;477435432;477435453;477435457;477435472;477435473;477435512;481561073;481561076;481561660;481561661;509997463;509997472
MARTIN LUTHER KING EAST,20,477440005;477440034;477440059;477440166;477440278;800034167;800034171
MARTIN LUTHER KING WEST,20,477440549;477440700;477440773;477440924;477440989;477441116;477441190
MONTICELLO DRIVE NORTH,20,477445466;477445752;477445939
MONTICELLO DRIVE SOUTH,20,477446020;477446128;482659668
WEST WASHINGTON STREET,20,477435345;477435350;477435358;477435378;477435384
CITY CROSSROADS DRIVE,19,477433915
EAST JEFFERSON STREET,19,477436205;477436210;477436212;477436217;477436223
EAST LAFAYETTE AVENUE,19,513531417
EAST OSTRANDER AVENUE,19,477443996
J STANLEY COYNE CIRCLE,19,477439574
NORTH CHELTENHAM ROAD,19,477446390
NORTH FRANKLIN STREET,19,477433238;477433341;477433468;477433513;477433583;477433605;477433815;477434143;477434370;477434865;600009015;800032523;800050918;800080350
NORTH LORRAINE AVENUE,19,477442280
NORTH TOWNSEND STREET,19,477431293;477431548;477431822;477432170;477432552;477432897;477433227;477433467;477433739;509997416;509997426;509997429;509997528;509997536;509997547;509997549;509997555;509997556;800036395
ONONDAGA LAKE PARKWAY,19,477428174;477428330;800042162
SOUTH FRANKLIN STREET,19,477435051;477435338;477435613;477435890;477436033;800066358
SOUTH TOWNSEND STREET,19,509997029;509997031;509997036;509997040;509997452;509997455;509997457;509997467;509997471;509997477;509997479;509997561;509997564;509997566;509997567;509997571;509997572;509997653;509997655;509998023;509998025;509998026;509998034;800066555
VAN RENSSELAER STREET,19,477431505;477431598;477432144;477432659;477432941;477433036;477433094;477433309;477433756;477434300;477434393;477434877;477435253;477435508;477435616;800032498;800032499;800046572;800066604
WEST JEFFERSON STREET,19,477436140;477436175;477436181;477436185;477436197;477436316;477436317;800036944;800037217
WEST LAFAYETTE AVENUE,19,477443319;477443354;477443411;477443418;477443449;477443469
WEST MARCELLUS STREET,19,477436848;477436922;477437037;800032564
WEST OSTRANDER AVENUE,19,477444010;477444032;477444060;477444064;477444069
COMMONWEALTH AVENUE,18,477429370
DARLINGTON ROAD EAST,18,477427810
EAST BRIGHTON AVENUE,18,477443135;477443173;477443213;477443514;477444075;477444462;477444685;477444872;477444951;477445147;477445155;477445423;477445620;477445745;513531404;513531408;513531413;513531414;800032735;800041393;800100343
EAST CHELTENHAM ROAD,18,477446416;477446430
EAST DIVISION STREET,18,477430127;477430243;477430493;477430725;477431422;477431449;477431547;477431627;477431672;477431738;477431788
EAST FLORENCE AVENUE,18,477445061;477445090
EAST GENESEE PARKWAY,18,477437393;477437508;477437553;477437895
EAST GIFFORD PARKWAY,18,477437975;506986299
EAST ONONDAGA STREET,18,477436216;477436543;477436860
EAST PLEASANT AVENUE,18,477443566
EAST SENECA TURNPIKE,18,477445731;477445751;477445758;477445833;477445835;477445916;477445928;477445938;477445940;477446034;477446046;477446177;800031538;800031581;800031588;800034273
EAST WARRINGTON ROAD,18,477446502;477446517
MCCHESNEY PARK DRIVE,18,477428975
MORNINGSIDE TERRACE,18,477441574
MOUNTAINVIEW AVENUE,18,477434819;477434823;477434848;477434852;477434875;477434930;477435010;477435081;477435170;800048562
NORTH CLINTON STREET,18,477431133;477431326;477431658;477431933;477432045;477432468;477433575;477433637;477433826;477434147;477434709;477434874;800041906;800042024;800042031
NORTH EDWARDS AVENUE,18,477428899;477429448;477429807
