name,source_id,inside_ft,original_ft,clipped
CANAL STREET,477433624,3358.7904978207334,3358.7904978207334,False
ERIE BOULEVARD WEST,477432942,3025.879452886003,3025.879452886003,False
VALLEY DRIVE,515167916,2514.0525575781317,2514.0525575781317,False
ERIE BOULEVARD WEST,477435840,2293.6689951439976,2293.6689951439976,False
IVY RIDGE ROAD,477444074,1967.8209792709195,1967.8209792709195,False
JENSEN AVENUE,800097683,1933.3695015954067,1933.3695015954067,False
HANCOCK DRIVE,477442836,1827.2879305181582,1827.2879305181582,False
ROBINEAU ROAD,800050420,1824.3242490674213,1824.3242490674213,False
CHAFFEE AVENUE,477446214,1815.2691400648548,1815.2691400648548,False
MEADOWBROOK DRIVE,477442058,1776.9089756935202,1776.9089756935202,False
GRAND AVENUE,477439437,1752.9296097242432,1752.9296097242432,False
SOLAR STREET,477431141,1747.3919315930268,1747.3919315930268,False
KIRK PARK DRIVE,477442621,1663.2267160936174,1663.2267160936174,False
WEST SENECA TURNPIKE,477445582,1653.7613520666473,1654.2017140244748,True
WEST MATSON AVENUE,477444173,1652.8786680961118,1652.8786680961118,False
SCOTTHOLM TERRACE,477438767,1647.748254517935,1647.748254517935,False
AUSTIN AVENUE,477441951,1616.4582493368198,1616.4582493368198,False
HALL AVENUE,477444306,1591.277387485349,1591.277387485349,False
EAST BRIGHTON AVENUE,477444075,1579.391828282001,1579.391828282001,False
BRATTLE ROAD,477431008,1578.3408190395583,1578.3408190395583,False
HOPPER ROAD,477446087,1567.157052685853,1567.157052685853,False
ACADEMY GREEN,477446135,1555.4326634620704,1555.4326634620704,False
BELLE AVENUE,477444417,1536.2842261648568,1536.2842261648568,False
SOUTH GEDDES STREET,477442938,1516.9048302180747,1516.9048302180747,False
RESTORATION WAY,600009024,1511.9527224355243,1511.9527224355243,False
BROOKFORD ROAD,477439924,1505.391238990897,1505.391238990897,False
CROUSE DR,477439218,1491.4116843583886,1491.4116843583886,False
WEST KENNEDY STREET,477441676,1481.3222719739629,1481.3222719739629,False
ALANSON ROAD,477442655,1479.363046842542,1479.363046842542,False
LAFAYETTE ROAD,477447095,1479.0433404710757,1479.0433404710757,False
SOUTH AVERY AVENUE,477438886,1473.4613700594255,1473.4613700594255,False
ROBERTS AVENUE,477442530,1463.4403415357428,1463.4403415357428,False
WEST MATSON AVENUE,477444230,1461.1470468898224,1461.1470468898224,False
VAN RENSSELAER STREET,477431505,1457.8331933146787,1457.8331933146787,False
FURMAN STREET,477441098,1453.404952407546,1453.404952407546,False
CULBERT STREET,477429530,1448.1642581835815,1448.1642581835815,False
BARNES AVENUE,477445541,1436.9655889395938,1436.9655889395938,False
PULASKI STREET,477431952,1434.2827233266141,1434.2827233266141,False
SHONNARD STREET,477437980,1433.4035522223892,1433.4035522223892,False
CONSERVATION PLACE,477436800,1431.0103666956632,1431.0103666956632,False
CHAPPLE WAY,600035941,1416.085756013458,1416.085756013458,False
SIMON DRIVE,600051413,1395.2391347974815,1395.2391347974815,False
SYRACUSE STREET,477435927,1388.4087812770028,1388.4087812770028,False
ARMSTRONG PLACE,477444086,1388.2677348446575,1388.2677348446575,False
FELLOWS AVENUE,477437758,1360.8271077944735,1360.8271077944735,False
GLENWOOD AVENUE,477442872,1351.7376403371175,1351.7376403371175,False
SPENCER STREET,477432438,1337.176696784537,1337.176696784537,False
COLERIDGE AVENUE,477437643,1332.8416294777412,1332.8416294777412,False
COLERIDGE AVENUE,477437200,1319.6990499761762,1319.6990499761762,False
NELSON STREET,477436849,1316.5557807873004,1316.5557807873004,False
ERIE BOULEVARD EAST,477433342,1312.8363672618436,1312.8363672618436,False
SUNHILL TERRACE,477441877,1310.3453173077187,1310.3453173077187,False
ERIE BOULEVARD WEST,506021506,1299.091679372923,1299.091679372923,False
DORWIN AVENUE,477447324,1271.748433363471,1271.748433363471,False
LOCKWOOD ROAD,477438875,1268.6199858533796,1268.6199858533796,False
