order,changes,miles,names,max_join_angle
1,4,2.9000966477870183,CRAWFORD AVENUE > BROAD STREET > BERKELEY DRIVE > OSTROM AVENUE > COMSTOCK PLACE,26.778407757528104
2,4,2.4979848601141814,STATE FAIR BOULEVARD > SPENCER STREET > WEST KIRKPATRICK STREET > WEST COURT STREET > COURT STREET,16.637541677582266
3,3,4.589720396414167,TOMPKINS STREET > SOUTH WILBUR AVENUE > WEST FAYETTE STREET > EAST FAYETTE STREET,22.220987140430733
4,3,2.6632132352279623,MCCHESNEY PARK DRIVE > POND STREET > NORTH TOWNSEND STREET > SOUTH TOWNSEND STREET,11.20535339889517
5,3,2.0514609256715746,SOUTH WILBUR AVENUE > DELAWARE STREET > WEST ONONDAGA STREET > TALLMAN STREET,18.725950588133603
6,3,1.2443825043761791,RENWICK AVENUE > MARTIN LUTHER KING EAST > MARTIN LUTHER KING WEST > HUDSON STREET,15.888269647752661
7,3,0.5913121946692954,WEST FAYETTE STREET > TENNYSON AVENUE > BURNET PARK DRIVE > TENNYSON AVENUE,2.458512088818138
8,3,0.46472109078936785,WILSON PLACE > EAST GIFFORD PARKWAY > GIFFORD PARKWAY > EAST GENESEE PARKWAY,19.306170493447482
9,2,3.414811734195548,VALLEY DRIVE > GLENWOOD AVENUE > MCDONALD ROAD,20.889159469996606
10,2,2.7219094526527017,GERE AVENUE > WEST END DRIVE > ERIE BOULEVARD WEST,21.95010482350336
11,2,2.4763197987857084,VELASKO ROAD > SOUTH AVERY AVENUE > AVERY AVENUE,11.736215804352865
12,2,2.072740425286513,NORTH MIDLER AVENUE > SOUTH MIDLER AVENUE > SEELEY ROAD,6.274357972562871
13,2,1.991976043807739,BUTTERNUT STREET > NORTH FRANKLIN STREET > SOUTH FRANKLIN STREET,10.621020229440758
14,2,1.8559252311374583,DESTINY USA DRIVE > HARBORSIDE DRIVE > NBT BANK PARKWAY,20.387450100157775
15,2,1.372429505045552,EAST ADAMS STREET > WEST ADAMS STREET > SHONNARD STREET,23.53895130463759
16,2,0.9128095346992209,NORTH BEECH STREET > SOUTH BEECH STREET > MADISON STREET,14.19821395156284
17,2,0.8304192731948172,WEST STREET ARTERIAL SOUTHBOUND > SOUTH WEST STREET > WEST STREET ARTERIAL SOUTHBOUND,12.248514751162837
18,2,0.7820935656963339,MONTICELLO DRIVE SOUTH > MONTICELLO DRIVE NORTH > SPRINGBROOK AVENUE,2.4933111142268904
19,2,0.6277884135431103,SUMNER AVENUE > DORSET ROAD > CIRCLE ROAD,12.543889396563896
20,2,0.6099047111755026,LAMBRETH LANE > WINDING RIDGE ROAD > CHINOOK DRIVE SOUTH,24.851851352918235
21,2,0.5763807263214719,ROE AVENUE > TEJAH AVENUE > JEAN AVENUE,14.087360743582991
22,2,0.5326301730144457,CRESTVIEW TERRACE > CAYUGA STREET > EMERSON AVENUE,11.287360301293326
23,2,0.49432424683325826,SOUTH GLENCOVE ROAD > NORTH GLENCOVE ROAD > GLENCOVE ROAD,17.59567092679877
24,2,0.4740209918474021,WEST CHELTENHAM ROAD > EAST CHELTENHAM ROAD > NORTH CHELTENHAM ROAD,25.84235121022038
25,2,0.4422453607725005,RIVERDALE DRIVE > MARIS DRIVE > CRESTVIEW DRIVE,12.836264145567613
26,2,0.2814228927460088,WEST SCOTT AVENUE > SCOTT AVENUE > GENESEE PARK DRIVE,4.576981728093716
27,1,5.481799871491889,WEST GENESEE STREET > JAMES STREET,22.59595367937864
28,1,5.224050831453723,SOUTH SALINA STREET > NORTH SALINA STREET,19.13896411553721
29,1,2.955442453829022,SOUTH GEDDES STREET > NORTH GEDDES STREET,9.721882428963712
30,1,2.5567081437268135,WEST COLVIN STREET > EAST COLVIN STREET,6.489788138039324
31,1,2.2785574599777547,NORTH STATE STREET > SOUTH STATE STREET,28.96875659821833
32,1,2.1693068570768075,SOUTH AVENUE > CORTLAND AVENUE,19.168963119036654
33,1,1.966485227315926,WEST SENECA TURNPIKE > EAST SENECA TURNPIKE,9.85872517024888
34,1,1.9480628743299853,WEST BRIGHTON AVENUE > EAST BRIGHTON AVENUE,6.6101358000585515
35,1,1.8567047106602579,TEALL AVENUE > COLUMBUS AVENUE,2.4778160836056835
36,1,1.855178121548656,MANOR DRIVE > SALT SPRINGS ROAD,15.804118540723673
37,1,1.7534044942047566,PEAT STREET > WESTMORELAND AVENUE,5.2463959398757956
38,1,1.7257739523975815,LEXINGTON AVENUE > EAST GENESEE STREET,20.94097847657481
39,1,1.7124040151810866,WEST ONONDAGA STREET > ONONDAGA AVENUE,27.43328424750955
40,1,1.6716262411156968,LOMBARD AVENUE > WESTCOTT STREET,10.614028240167691
41,1,1.5531143211773895,WEST BEAR STREET > BEAR STREET,5.356247790993054
42,1,1.5132242884855471,EAST WATER STREET > WEST WATER STREET,7.197948225762096
43,1,1.500607295038763,HIAWATHA BOULEVARD WEST > HIAWATHA BOULEVARD EAST,12.43029739781047
44,1,1.445307010743584,SUNNYCREST ROAD > SHOTWELL PARK,10.574527818672216
45,1,1.387565927480913,SALISBURY ROAD > WHITTIER AVENUE,11.856643584704416
46,1,1.3204244430041236,PROSPECT AVENUE > NORTH SALINA STREET,25.78922730287873
47,1,1.2784644771747078,HIAWATHA BOULEVARD WEST > HIAWATHA BOULEVARD EAST,25.74031148261131
48,1,1.2764583038699038,STATE FAIR BOULEVARD > PARK AVENUE,14.775836014083001
49,1,1.251786737652781,CATHERINE STREET > ALMOND STREET,20.532709841886657
50,1,1.2139578296983065,ONONDAGA BOULEVARD > WEST ONONDAGA STREET,3.0946060984601935
51,1,1.207376457517449,TEX SIMONE DRIVE > FIRST NORTH STREET,4.873827122806055
52,1,1.1756377608054773,HIGHPOINT STREET > SEYMOUR STREET,17.952727889672303
53,1,1.1621928273870523,NORTH CLINTON STREET > SOUTH CLINTON STREET,4.817719937108954
54,1,1.1598724262578022,ENFIELD PLACE > EUCLID AVENUE,10.677865648723026
55,1,1.1249318830758397,WEST BELDEN AVENUE > PLUM STREET,6.69263768180243
56,1,1.0572057283984075,MERTENS AVENUE > SEDGWICK DRIVE,28.627107367144735
57,1,1.0427271899235624,SPENCER STREET > CATAWBA STREET,6.019561993453719
58,1,1.0213826492880433,SOLAR STREET > DESTINY USA DRIVE,2.889116879693173
59,1,1.0055329723526458,WEST WASHINGTON STREET > EAST WASHINGTON STREET,10.282607333809082
60,1,1.0002260717659255,GLENWOOD AVENUE > REED AVENUE,7.6568556999683635
61,1,0.9839772819736691,MANLEY FIELD HOUSE > SKYTOP ROAD,26.489699178159956
62,1,0.9754780722411318,SHUART AVENUE > ELM STREET,0.4395303176730431
63,1,0.9712717055988591,WEST NEWELL STREET > EAST NEWELL STREET,9.37664410882813
64,1,0.9702646947753572,BROOKFORD ROAD > EAST AVENUE,21.271928205475948
65,1,0.9547213881769318,MILTON AVENUE > BURNET PARK DRIVE,8.960944174029171
66,1,0.9477370595585088,SLOCUM AVENUE > SOUTH AVENUE,14.76869595713082
67,1,0.9434623107637266,BALLANTYNE ROAD > WALRATH ROAD,6.222739674511639
68,1,0.9414491201625899,NORTH CROUSE AVENUE > SOUTH CROUSE AVENUE,3.6874122310086346
69,1,0.9003844001170862,CANAL STREET > SIMON DRIVE,5.2019385897632
70,1,0.8990051039398428,VAN BUREN STREET > ALMOND STREET,14.909251755340263
71,1,0.8515618252120354,SMALL ROAD > CHINOOK DRIVE,24.576208632740737
72,1,0.8211804219845257,LEMOYNE AVENUE > STEDMAN STREET,13.575927500107765
73,1,0.788424341888973,WEST FAYETTE STREET > SYRACUSE STREET,10.074754272968034
74,1,0.7763376717666256,NORTH MCBRIDE STREET > SOUTH MCBRIDE STREET,10.314219426177416
75,1,0.7663103614417691,MILTON AVENUE > EMERSON AVENUE,26.47961421296126
76,1,0.7534264950918322,NORTH WARREN STREET > SOUTH WARREN STREET,6.668935730590604
77,1,0.7495830475296019,STRATHMORE DRIVE > ROBERTS AVENUE,11.946865926256104
78,1,0.7480521683172853,MAPLE STREET > SOUTH BEECH STREET,15.267861443130283
79,1,0.7478866783982083,HOPPER ROAD > BARNES AVENUE,4.315677550861783
80,1,0.7422817464531718,STRATFORD STREET > MOUNT OLYMPUS DRIVE,5.154663861566986
81,1,0.7309300385878162,CRESCENT AVENUE > WEST KENNEDY STREET,11.285474790170104
82,1,0.7289016895041504,SPRINGFIELD ROAD > MOUNTAINVIEW AVENUE,1.4623991872798974
83,1,0.7031298406904151,SHERIDAN DRIVE > RICH STREET,6.696455861917709
84,1,0.6834080855070149,OAKWOOD AVENUE > SOUTH TOWNSEND STREET,14.029072717920288
85,1,0.6618499231108765,LEAVENWORTH AVENUE > EVANS STREET,8.205365163708743
86,1,0.6503244973953233,WEST LAFAYETTE AVENUE > EAST LAFAYETTE AVENUE,3.081419538962483
87,1,0.6452163550316901,TRACY STREET > NORTH WEST STREET,29.410900595355315
88,1,0.6224717461629369,HAYDEN AVENUE > HERKIMER STREET,7.202533472163579
89,1,0.612356630121629,OSWEGO STREET > CONGRESS AVENUE,15.519366086879419
90,1,0.5857543676383496,SEARLWYN ROAD > LATTER DRIVE,17.43733345479734
91,1,0.5735292478901324,SPRINGFIELD ROAD > SMITH STREET,20.544720858122805
92,1,0.5685848482408526,AUDUBON PARKWAY > NORTHWAY STREET,10.718404015689543
93,1,0.564112557512466,GAGE COURT > BURT STREET,2.101874279582752
94,1,0.5631150763801102,ONONDAGA CREEK BOULEVARD EAST > VALE STREET,22.36116501247311
95,1,0.5590783899055863,OAKLEY DRIVE EAST > SPAULDING AVENUE,0.8348162358616492
96,1,0.5462191184489922,STINARD AVENUE > CHARMOUTH DRIVE,9.914562537765832
97,1,0.5419981143371404,ROBINSON STREET > SEDGWICK STREET,11.63068197034184
98,1,0.5261050601818578,ERIE BOULEVARD EAST > OSWEGO BOULEVARD,23.151156080678014
99,1,0.521378812242808,SUNRISE DRIVE > SNELL TERRACE,6.184696572531716
100,1,0.5210923956975362,CAMP AVENUE > BARNES AVENUE,24.41087203257061
101,1,0.5177251780167986,DARLINGTON ROAD > DARLINGTON ROAD EAST,0.6629196119578812
102,1,0.5115286581694425,BUTTERNUT STREET > KUHL AVENUE,11.684472432544743
103,1,0.5012943897125395,HIAWATHA PLACE > WILLUMAE DRIVE,17.8210194945176
104,1,0.4967348777023537,EAST BRIGHTON AVENUE > EAST SENECA TURNPIKE,5.696371885495164
105,1,0.4913952553105354,BALLARD AVENUE > FURMAN STREET,20.0515696179062
106,1,0.47965048351206724,BERNIE BLAKE DRIVE > LOOMIS AVENUE,3.161107750368188
107,1,0.46393202340395623,CORAL AVENUE > ATLANTIC AVENUE,15.204312040494393
108,1,0.4352451107910832,HOWARD STREET > GERTRUDE STREET,5.519059706785352
109,1,0.43037049465436844,EAST MATSON AVENUE > WEST MATSON AVENUE,3.7628988950497875
110,1,0.4215451402082324,ELMWOOD AVENUE > EDGEWOOD AVENUE,24.81830573246186
111,1,0.419669953372084,RIEGEL STREET > GREENWAY AVENUE,23.32866651572279
