id,chain_order,margin_m,names,changes,run_lengths_m,min_run_m,start_m,end_m,length_m,chord_m,ratio,max_offset_m
0,1,25,CRAWFORD AVENUE > BROAD STREET,1,25.000 > 25.000,25.0,1419.3095620883719,1469.3095620883719,49.9999999999153,48.485325499486606,1.0312398542203194,5.985313889360848
1,1,25,CRAWFORD AVENUE > BROAD STREET > BERKELEY DRIVE,2,25.000 > 1125.904 > 25.000,25.0,1419.3095620883719,2595.213259343207,1175.9036972548258,1147.9090407769431,1.0243875215574005,47.28905430193847
2,1,25,CRAWFORD AVENUE > BROAD STREET > BERKELEY DRIVE > OSTROM AVENUE,3,25.000 > 1125.904 > 603.701 > 25.000,25.0,1419.3095620883719,3198.913811144973,1779.6042490567802,1454.236200076767,1.223738103179413,378.74349934124274
3,1,25,CRAWFORD AVENUE > BROAD STREET > BERKELEY DRIVE > OSTROM AVENUE > COMSTOCK PLACE,4,25.000 > 1125.904 > 603.701 > 1343.566 > 25.000,25.0,1419.3095620883719,4542.48000473407,3123.170442645715,2255.3475640469164,1.384784541608127,1004.9750918671111
4,1,25,BROAD STREET > BERKELEY DRIVE,1,25.000 > 25.000,25.0,2545.213259343207,2595.213259343207,49.99999999997333,46.30533083353462,1.079789283435224,8.69848540022468
5,1,25,BROAD STREET > BERKELEY DRIVE > OSTROM AVENUE,2,25.000 > 603.701 > 25.000,25.0,2545.213259343207,3198.913811144973,653.7005518019275,556.3912786734885,1.174893598908375,128.04623555832845
6,1,25,BROAD STREET > BERKELEY DRIVE > OSTROM AVENUE > COMSTOCK PLACE,3,25.000 > 603.701 > 1343.566 > 25.000,25.0,2545.213259343207,4542.48000473407,1997.2667453908637,1840.832125234743,1.084980383605687,218.59468161948487
7,1,25,BERKELEY DRIVE > OSTROM AVENUE,1,25.000 > 25.000,25.0,3148.913811144973,3198.913811144973,50.00000000054722,49.6388380909177,1.0072757929782323,1.5267056543003352
8,1,25,BERKELEY DRIVE > OSTROM AVENUE > COMSTOCK PLACE,2,25.000 > 1343.566 > 25.000,25.0,3148.913811144973,4542.48000473407,1393.5661935894832,1387.9816701359614,1.0040234850168985,8.828802882046967
9,1,25,OSTROM AVENUE > COMSTOCK PLACE,1,25.000 > 25.000,25.0,4492.48000473407,4542.48000473407,50.00000000028136,45.61177737633217,1.0962081040548581,7.169981112443858
10,1,50,CRAWFORD AVENUE > BROAD STREET,1,50.000 > 50.000,50.0,1394.3095620883719,1494.3095620883719,100.00000000006723,96.16500774470225,1.0398792902460536,12.773096757365739
11,1,50,CRAWFORD AVENUE > BROAD STREET > BERKELEY DRIVE,2,50.000 > 1125.904 > 50.000,50.0,1394.3095620883719,2620.213259343207,1225.9036972547306,1176.6029081792383,1.0419009580316132,67.50128747460592
12,1,50,CRAWFORD AVENUE > BROAD STREET > BERKELEY DRIVE > OSTROM AVENUE,3,50.000 > 1125.904 > 603.701 > 50.000,50.0,1394.3095620883719,3223.913811144973,1829.6042490570578,1469.1658086331026,1.2453354402246153,402.61791556158664
13,1,50,CRAWFORD AVENUE > BROAD STREET > BERKELEY DRIVE > OSTROM AVENUE > COMSTOCK PLACE,4,50.000 > 1125.904 > 603.701 > 1343.566 > 50.000,50.0,1394.3095620883719,4567.48000473407,3173.1704426458896,2265.8250456831574,1.4004481275778127,1013.9128669511563
14,1,50,BROAD STREET > BERKELEY DRIVE,1,50.000 > 50.000,50.0,2520.213259343207,2620.213259343207,99.99999999969714,90.73890439137031,1.1020631191267458,20.12307881120367
