"ID","Category","Idea","Status","Priority","Research Notes","Sources","Draft Location","Published URL","Date Completed","Related IDs"
DC001,"Streets, names, and the small absurdities of geography",Does Oak Street actually have any oak trees?,Published,,"Published on DataCuse; live article verified on 2026-09-18. Numbered post folder contains the story, images, and analysis.",,C:\Users\samie\Projects\datacuse\DataCuse\content\1_oak_street_trees\story\index.md,https://www.datacuse.com/stories/oak-street-trees/,2026-09-18,
"DC002","Streets, names, and the small absurdities of geography","What is Syracuse’s shortest named street?","Published","","Published on DataCuse; live article verified on 2026-09-19. Covers full-name letter counts, mapped street segments, and connected whole streets; explains the South Avenue junction caveat.","","C:\Users\samie\Projects\datacuse\DataCuse\content\2_shortest_street\story\index.md","https://www.datacuse.com/stories/syracuse-shortest-street/","2026-09-19","DC017"
"DC003","Streets, names, and the small absurdities of geography","What is its longest street—and where does it really end?","Ready","","Draft and five graphics checked 2026-09-20. Canal Street: longest individual source feature, 3,359 ft. Literal longest name field: East Brighton Avenue Avenue Northbound, 34 letters, with anomaly disclosed. South Salina: 4.66 miles inside Syracuse; Erie carriageways checked separately (5.93 summed versus about 3.57 along corridor). No field or street-sign survey. Unpublished; ready for editorial review.","https://services6.arcgis.com/EbVsqZ18sv1kVJ3k/arcgis/rest/services/NYS_Streets/FeatureServer/0; https://gisservices.its.ny.gov/arcgis/rest/services/NYS_Civil_Boundaries/MapServer/4; snapshot 2026-09-19; NYS 2022 aerial imagery","C:\Users\samie\Projects\datacuse\DataCuse\content\3_longest_street\story\index.md","","","DC002"
"DC004","Streets, names, and the small absurdities of geography","Which street changes names the most without making you turn?","Ready","","Revised draft distinguishes whole-path straightness from continuity. Among 218 defined windows, max 2 changes with <=10 m chord departure and <=1% extra distance, 50 m lead-in/out. Monticello South-North-Springbrook: 686.8 m, 0.20% extra, 7.1 m departure; names agree with city map. Tennyson-Burnet Park-Tennyson ties in NYS but city map calls the insert Tennyson. Original 4-change chains curve substantially. 642 geometry windows independently validated; 12 aerial transitions checked; three new graphics. Bounded chain/window search, not a universal record. Unpublished.","NYS Streets and NYS city boundaries, saved 2026-09-19 snapshot; NYS 2022 aerial imagery; analysis/methodology.md","C:\Users\samie\Projects\datacuse\DataCuse\content\4_name_changes\story\index.md","","",""
"DC005","Streets, names, and the small absurdities of geography","Where is Syracuse’s geographic center?","Idea","","","","","","",""
"DC006","Streets, names, and the small absurdities of geography","Where is its population center?","Idea","","","","","","",""
DC007,"Streets, names, and the small absurdities of geography",What location do residents think is the center?,Idea,,Build a companion web app for this post: use the visitor location to show the direction to face the defined center of Syracuse and straight-line distance in miles. Include a compass where supported and a bearing/map fallback. See datacuse-data-guide.md#dc007-companion-app.,,,,,
"DC008","Streets, names, and the small absurdities of geography","Which intersection has the most streets meeting at it?","Idea","","","","","","",""
"DC009","Streets, names, and the small absurdities of geography","What is Syracuse’s sharpest street corner?","Idea","","","","","","",""
"DC010","Streets, names, and the small absurdities of geography","Which street comes closest to making a complete circle?","Idea","","","","","","",""
"DC011","Streets, names, and the small absurdities of geography","How many streets are named after trees?","Idea","","","","","","",""
"DC012","Streets, names, and the small absurdities of geography","Which presidents have streets—and which got skipped?","Idea","","","","","","",""
"DC013","Streets, names, and the small absurdities of geography","Which numbered streets are missing from the sequence?","Idea","","","","","","",""
"DC014","Streets, names, and the small absurdities of geography","How many street names are also people’s first names?","Idea","","","","","","",""
"DC015","Streets, names, and the small absurdities of geography","What is the most common street-name ending: Street, Avenue, or something else?","Idea","","","","","","",""
"DC016","Streets, names, and the small absurdities of geography","Which street has the longest name?","Idea","","","","","","",""
"DC017","Streets, names, and the small absurdities of geography","Which street has the shortest name?","Published","","Answered in the shortest-street article; live article verified on 2026-09-19. Fay Road and Lea Lane tie at seven letters including the spelled-out suffix; spaces and punctuation excluded.","","C:\Users\samie\Projects\datacuse\DataCuse\content\2_shortest_street\story\index.md","https://www.datacuse.com/stories/syracuse-shortest-street/","2026-09-19","DC002"
"DC018","Streets, names, and the small absurdities of geography","What is the longest perfectly straight stretch of street?","Idea","","","","","","",""
"DC019","Streets, names, and the small absurdities of geography","Which street wanders farthest from a straight line?","Idea","","","","","","",""
"DC020","Streets, names, and the small absurdities of geography","Where do two almost-identical street names threaten to confuse visitors?","Idea","","","","","","",""
"DC021","Streets, names, and the small absurdities of geography","Which named street consists of disconnected pieces?","Idea","","","","","","",""
"DC022","Streets, names, and the small absurdities of geography","How many dead ends does Syracuse have?","Idea","","","","","","",""
"DC023","Streets, names, and the small absurdities of geography","Which dead end almost connects to another street?","Idea","","","","","","",""
"DC024","Streets, names, and the small absurdities of geography","Where does an ordinary street abruptly become a staircase or path?","Idea","","","","","","",""
"DC025","Streets, names, and the small absurdities of geography","Which intersection has the biggest mismatch between its streets’ sizes?","Idea","","","","","","",""
"DC026","Streets, names, and the small absurdities of geography","How many city streets cross the municipal boundary?","Idea","","","","","","",""
"DC027","Streets, names, and the small absurdities of geography","Where can you leave Syracuse and reenter without turning?","Idea","","","","","","",""
"DC028","Streets, names, and the small absurdities of geography","Which street follows the city boundary the longest?","Idea","","","","","","",""
"DC029","Streets, names, and the small absurdities of geography","Are directional street names actually pointing in their advertised directions?","Idea","","","","","","",""
"DC030","Streets, names, and the small absurdities of geography","Which Syracuse street name deserves an origin story?","Idea","","","","","","",""
"DC031","Trees, plants, and urban wildlife","What is the most common public-tree species in Syracuse?","Idea","","","","","","",""
"DC032","Trees, plants, and urban wildlife","Where is the rarest species in the tree inventory?","Idea","","","","","","",""
"DC033","Trees, plants, and urban wildlife","Which public tree has no nearby relatives of its species?","Idea","","","","","","",""
"DC034","Trees, plants, and urban wildlife","Which block has the greatest variety of street trees?","Idea","","","","","","",""
"DC035","Trees, plants, and urban wildlife","Which block is almost entirely one tree species?","Idea","","","","","","",""
"DC036","Trees, plants, and urban wildlife","Where are the largest recorded street-tree trunks?","Idea","","","","","","",""
"DC037","Trees, plants, and urban wildlife","How much of the public-tree inventory has no identified species?","Idea","","","","","","",""
"DC038","Trees, plants, and urban wildlife","Where are there planting sites but no trees?","Idea","","","","","","",""
DC039,"Trees, plants, and urban wildlife",Which streets have the most trees with a recorded recent planting year?,Idea,,,,,,,
DC040,"Trees, plants, and urban wildlife",Where are stumps concentrated in the tree inventory?,Idea,,,,,,,
"DC041","Trees, plants, and urban wildlife","Do tree-named streets have more trees than other streets?","Idea","","","","","","",""
"DC042","Trees, plants, and urban wildlife","How green is Green Street?","Idea","","","","","","",""
DC043,"Trees, plants, and urban wildlife",Which mapped Census tracts have the most recorded tree canopy?,Idea,,,,,,,
DC044,"Trees, plants, and urban wildlife",How different is tree cover on opposite sides of one Syracuse street?,Idea,,,,,,,
"DC045","Trees, plants, and urban wildlife","Which bus stops have natural shade?","Idea","","","","","","",""
"DC046","Trees, plants, and urban wildlife","Which playgrounds have shade around their equipment?","Idea","","","","","","",""
"DC047","Trees, plants, and urban wildlife","How much shade surrounds Syracuse school buildings?","Idea","","","","","","",""
"DC048","Trees, plants, and urban wildlife","Which parking lots have the most tree cover?","Idea","","","","","","",""
"DC049","Trees, plants, and urban wildlife","Can you walk a mile while staying mostly under trees?","Idea","","","","","","",""
DC050,"Trees, plants, and urban wildlife",Where are inventoried evergreen trees concentrated?,Idea,,,,,,,
"DC051","Trees, plants, and urban wildlife","Where might fall color last longest, based on tree species?","Idea","","","","","","",""
"DC052","Trees, plants, and urban wildlife","How many public trees produce edible fruit or nuts?","Idea","","","","","","",""
"DC053","Trees, plants, and urban wildlife","Which street trees are native to this region?","Idea","","","","","","",""
"DC054","Trees, plants, and urban wildlife","What would Syracuse lose if its most common tree species disappeared?","Idea","","","","","","",""
"DC055","Trees, plants, and urban wildlife","Where do large trees survive on surprisingly small parcels?","Idea","","","","","","",""
DC056,"Trees, plants, and urban wildlife",Can we match a tree in one dated Syracuse photograph to the same location today?,Idea,,,,,,,
"DC057","Trees, plants, and urban wildlife","Where are bird sightings reported most often—and where do observers go?","Idea","","","","","","",""
DC058,"Trees, plants, and urban wildlife",Which birds have the shortest seasonal reporting windows in Onondaga County eBird checklists?,Idea,,,,,,,
