id,image_id,category,severity,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,notes,created_at
10,3,street_crack,4,0.0,0.68,1.0,1.0,Extensive cracking visible in the foreground pavement.,2026-06-01 02:32:36
11,3,street_crack,3,0.2,0.55,0.9,0.7,Multiple cracks extend further down the street.,2026-06-01 02:32:36
12,3,rough_pavement,3,0.0,0.5,1.0,1.0,Overall pavement surface appears rough due to widespread cracking.,2026-06-01 02:32:36
13,3,sidewalk_crack,2,0.0,0.6,0.4,0.69,Minor cracking visible on the left sidewalk.,2026-06-01 02:32:36
14,4,rough_pavement,2,0.0,0.78,1.0,1.0,General wear and minor unevenness on street pavement,2026-06-01 02:32:55
15,4,street_crack,2,0.0,0.6,1.0,0.78,Some visible cracking in the street surface,2026-06-01 02:32:55
16,5,street_crack,2,0.0,0.77,0.21,0.99,Longitudinal and transverse cracks on the left side of the street pavement.,2026-06-01 02:43:59
17,5,street_crack,2,0.25,0.7,0.55,0.88,Network of cracks and minor patches in the street's center-left foreground.,2026-06-01 02:43:59
18,5,street_crack,1,0.7,0.55,1.0,0.65,Minor cracks visible on the right side of the street.,2026-06-01 02:43:59
19,5,sidewalk_crack,2,0.7,0.43,0.9,0.47,Visible cracks between concrete slabs on the right sidewalk.,2026-06-01 02:43:59
20,7,street_crack,2,0.2,0.5,0.8,0.75,Moderate longitudinal and block cracking,2026-06-05 10:45:02
21,8,rough_pavement,2,0.3,0.48,0.99,0.68,Minor wear across intersection pavement,2026-06-05 10:45:11
22,9,street_crack,2,0.72,0.58,1.0,0.77,Minor cracking and wear along the right edge of the pavement.,2026-06-14 16:36:13
23,10,sidewalk_crack,2,0.55,0.15,0.61,0.28,Minor cracks in sidewalk segments,2026-06-14 16:36:20
