id,image_id,label,confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,notes,created_at
14,3,sidewalk,0.9,0.0,0.54,0.46,0.69,Concrete sidewalk on the left side of the street.,2026-06-01 02:32:36
15,3,sidewalk,0.9,0.44,0.53,1.0,0.69,Concrete sidewalk on the right side of the street.,2026-06-01 02:32:36
16,3,curb,0.9,0.0,0.66,0.44,0.74,Concrete curb along the left side of the street.,2026-06-01 02:32:36
17,3,curb,0.9,0.44,0.63,1.0,0.7,Concrete curb along the right side of the street.,2026-06-01 02:32:36
18,3,utility_pole,0.9,0.32,0.0,0.39,0.53,Utility pole with overhead lines on the left.,2026-06-01 02:32:36
19,3,street_light,0.8,0.32,0.31,0.35,0.38,Street light attached to the utility pole on the left.,2026-06-01 02:32:36
20,3,tree,0.9,0.34,0.0,0.44,0.48,Large tree on the left side of the street.,2026-06-01 02:32:36
21,3,tree,0.9,0.56,0.0,0.7,0.48,Large tree on the right side of the street.,2026-06-01 02:32:36
22,4,tree,0.98,0.0,0.0,0.54,0.81,Prominent mature tree on left side,2026-06-01 02:32:55
23,4,tree,0.9,0.0,0.28,0.28,0.6,Trees in distant background on left,2026-06-01 02:32:55
24,4,tree,0.97,0.72,0.28,1.0,0.59,Mature tree on right side,2026-06-01 02:32:55
25,4,sidewalk,0.95,0.0,0.6,0.7,0.77,Concrete sidewalk visible on left,2026-06-01 02:32:55
26,4,curb,0.88,0.0,0.76,0.7,0.81,Curb separating street from sidewalk on left,2026-06-01 02:32:55
27,4,curb,0.75,0.7,0.67,1.0,0.71,Less distinct curb line on right side,2026-06-01 02:32:55
28,4,utility_pole,0.98,0.44,0.26,0.52,0.51,Main utility pole with multiple lines,2026-06-01 02:32:55
29,4,utility_pole,0.92,0.55,0.32,0.59,0.44,Utility pole further down on the right,2026-06-01 02:32:55
30,4,utility_pole,0.88,0.32,0.38,0.35,0.43,Utility pole in the distance on the left,2026-06-01 02:32:55
31,4,traffic_sign,0.99,0.48,0.44,0.51,0.48,Clear red STOP sign,2026-06-01 02:32:55
32,4,street_light,0.95,0.46,0.3,0.49,0.33,Street light fixture on main utility pole,2026-06-01 02:32:55
33,4,street_sign,0.85,0.34,0.43,0.36,0.45,Green street name sign in the distance,2026-06-01 02:32:55
34,5,curb,0.95,0.0,0.43,0.52,0.69,"Left curb, continuous and intact along the street edge.",2026-06-01 02:43:59
35,5,curb,0.95,0.52,0.44,1.0,0.58,"Right curb, continuous and intact along the street edge.",2026-06-01 02:43:59
36,5,sidewalk,0.9,0.0,0.38,0.2,0.44,Concrete sidewalk visible behind the grassy strip on the left.,2026-06-01 02:43:59
37,5,sidewalk,0.9,0.58,0.43,1.0,0.51,"Concrete sidewalk on the right, extending into the distance.",2026-06-01 02:43:59
38,5,street_light,0.98,0.26,0.21,0.34,0.43,Ornate lamp-post style street light on the left side.,2026-06-01 02:43:59
39,5,street_sign,0.98,0.29,0.28,0.32,0.33,Rectangular 'NO PARKING' sign attached to the street light.,2026-06-01 02:43:59
40,5,tree,0.9,0.0,0.0,0.18,0.44,Large deciduous tree in the left foreground.,2026-06-01 02:43:59
41,5,tree,0.85,0.36,0.05,0.6,0.27,Deciduous tree near the center of the road view.,2026-06-01 02:43:59
42,5,tree,0.85,0.72,0.0,1.0,0.25,Trees lining the right side of the street in the mid-distance.,2026-06-01 02:43:59
43,6,tree|sidewalk,0.75,0.496,0.183,0.72,0.591,The trees and sidewalks appear to be in good condition.,2026-06-01 02:47:04
44,7,utility_pole,0.95,0.29,0.3,0.35,0.51,Wooden utility pole on left side,2026-06-05 10:45:02
45,7,sidewalk,0.9,0.6,0.5,0.99,0.62,Concrete sidewalk on right side,2026-06-05 10:45:02
46,7,curb,0.85,0.55,0.49,0.99,0.8,Low concrete curb line,2026-06-05 10:45:02
47,7,tree,0.9,0.55,0.0,1.0,0.55,Large mature tree canopy on right,2026-06-05 10:45:02
48,8,street_sign,0.95,0.11,0.35,0.18,0.57,Spring St / Turtle St signpost,2026-06-05 10:45:11
49,8,utility_pole,0.9,0.59,0.3,0.64,0.46,Wooden utility pole with wires,2026-06-05 10:45:11
50,8,tree,0.95,0.19,0.15,0.48,0.46,Large mature tree near corner,2026-06-05 10:45:11
51,8,sidewalk,0.8,0.0,0.51,0.12,0.59,Sidewalk segment on left corner,2026-06-05 10:45:11
52,9,sidewalk,0.9,0.58,0.45,0.96,0.59,Concrete sidewalk on the right side of the street.,2026-06-14 16:36:13
53,9,tree,0.95,0.24,0.24,0.47,0.49,Deciduous tree near the left parkway.,2026-06-14 16:36:13
54,9,curb,0.85,0.58,0.46,1.0,0.76,Right-side street curb line.,2026-06-14 16:36:13
55,10,street_light,0.9,0.3,0.76,0.56,0.84,Decorative dual-lantern post,2026-06-14 16:36:20
56,10,sidewalk,0.85,0.48,0.0,0.69,0.44,Concrete sidewalk along left side,2026-06-14 16:36:20
57,10,tree,0.95,0.23,0.5,0.5,0.65,Bright green deciduous tree,2026-06-14 16:36:20
